rt,trial_type,trial_index,trial_number,time_elapsed,random_id,stimulus,response,task,word,condition,list,question_order,correct_answer,correct,file_name,participant_id,stimulus_list,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,likert_rating,experiment_about,feel_while_completing,subjective_task_difficulty,technical_issues,feedback,participant_is_group_member
13658,survey-text,5,1,1027866,p05ywlxguyt,NA,"{""Q0"":""chair"",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,stimuli/Cogs 119 List 1.wav,chair,,,,,,,,,,,,,,,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
62763,survey-text,7,2,1119267,p05ywlxguyt,NA,"{""Q0"":""smooth"",""Q1"":""sand"",""Q2"":""gravel"",""Q3"":""bumpy"",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,stimuli/Cogs 119 List 4.wav,smooth,sand,gravel,bumpy,,,,,,,,,,,,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
17466,survey-text,9,3,1164016,p05ywlxguyt,NA,"{""Q0"":""knitting"",""Q1"":""cloth"",""Q2"":""nimble"",""Q3"":""texture"",""Q4"":""wool"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,stimuli/Cogs 119 List 3.wav,knitting,cloth,nimble,texture,wool,,,,,,,,,,,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
15402,survey-text,11,4,1207440,p05ywlxguyt,NA,"{""Q0"":""top"",""Q1"":""peak"",""Q2"":""mountain"",""Q3"":""speak"",""Q4"":""pain"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,stimuli/Cogs 119 List 2.wav,top,peak,mountain,speak,pain,,,,,,,,,,,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
25300,survey-text,13,5,1260631,p05ywlxguyt,NA,"{""Q0"":""bed"",""Q1"":""nap"",""Q2"":""rest"",""Q3"":""dream"",""Q4"":""wake"",""Q5"":""blanket"",""Q6"":""drowsy"",""Q7"":""peace"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,stimuli/Cogs 119 List 5.wav,bed,nap,rest,dream,wake,blanket,drowsy,peace,,,,,,,,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
11166,survey-text,15,6,1298944,p05ywlxguyt,NA,"{""Q0"":""sour"",""Q1"":""sweet"",""Q2"":""candy"",""Q3"":""tart"",""Q4"":""cake"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}",free_recall,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,stimuli/Cogs 119 List 6.wav,sour,sweet,candy,tart,cake,,,,,,,,,,,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
3935,survey-likert,17,7,1312399,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Couch,studied,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2613,survey-likert,18,8,1315015,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Shoe,unrelated,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
3313,survey-likert,19,9,1318330,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Ball,unrelated,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2433,survey-likert,20,10,1320764,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Chair,critical,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
