"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","973901","fullscreen","0","2.1.0","974925","p05ywlxguyt","","","","","","","","",""
"","555","html-keyboard-response","1","2.0.0","975483","p05ywlxguyt","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","4618","survey-text","2","2.0.0","980105","p05ywlxguyt","","{""participant_id"":""seal""}","","","","","","",""
"","4107","html-keyboard-response","3","2.0.0","984214","p05ywlxguyt","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","1013199","p05ywlxguyt","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","13658","survey-text","5","2.0.0","1027866","p05ywlxguyt","","{""Q0"":""chair"",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","1055496","p05ywlxguyt","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","62763","survey-text","7","2.0.0","1119267","p05ywlxguyt","","{""Q0"":""smooth"",""Q1"":""sand"",""Q2"":""gravel"",""Q3"":""bumpy"",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","1145542","p05ywlxguyt","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","17466","survey-text","9","2.0.0","1164016","p05ywlxguyt","","{""Q0"":""knitting"",""Q1"":""cloth"",""Q2"":""nimble"",""Q3"":""texture"",""Q4"":""wool"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
