"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1969","fullscreen","0","2.1.0","2989","p0unvuqxmsj","","","","","","","","",""
"","2323","html-keyboard-response","1","2.0.0","5313","p0unvuqxmsj","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","21581","survey-text","2","2.0.0","26898","p0unvuqxmsj","","{""participant_id"":""A18534325""}","","","","","","",""
"","2780","html-keyboard-response","3","2.0.0","29679","p0unvuqxmsj","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","AudioVolumeUp","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","55386","p0unvuqxmsj","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","51461","survey-text","5","2.0.0","107859","p0unvuqxmsj","","{""Q0"":""thorn"",""Q1"":""sewing"",""Q2"":""hurt"",""Q3"":""knitting"",""Q4"":""prick"",""Q5"":""thread"",""Q6"":""cloth"",""Q7"":""haystack"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","133637","p0unvuqxmsj","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","63698","survey-text","7","2.0.0","198350","p0unvuqxmsj","","{""Q0"":""mountain"",""Q1"":""glacier"",""Q2"":""steep"",""Q3"":""plane"",""Q4"":""hill"",""Q5"":""hike"",""Q6"":""summit"",""Q7"":""ski"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","224122","p0unvuqxmsj","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","47380","survey-text","9","2.0.0","272524","p0unvuqxmsj","","{""Q0"":""tart"",""Q1"":""cake"",""Q2"":""pie"",""Q3"":""sugar"",""Q4"":""chocolate"",""Q5"":""tooth"",""Q6"":""candy"",""Q7"":""bitter"",""Q8"":""sweet"",""Q9"":""heart"",""Q10"":""sour"",""Q11"":""good"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","298139","p0unvuqxmsj","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","49422","survey-text","11","2.0.0","348571","p0unvuqxmsj","","{""Q0"":""bench"",""Q1"":""rocking"",""Q2"":""recliner"",""Q3"":""stool"",""Q4"":""sofa"",""Q5"":""table"",""Q6"":""desk"",""Q7"":""couch"",""Q8"":""sitting"",""Q9"":""legs"",""Q10"":""chair"",""Q11"":""swivel"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","374297","p0unvuqxmsj","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","69865","survey-text","13","2.0.0","445172","p0unvuqxmsj","","{""Q0"":""yawn"",""Q1"":""drowsy"",""Q2"":""snooze"",""Q3"":""nap"",""Q4"":""bed"",""Q5"":""slumber"",""Q6"":""sleep"",""Q7"":""wake"",""Q8"":""wake"",""Q9"":""doze"",""Q10"":""night"",""Q11"":""alarm"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","471575","p0unvuqxmsj","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","79430","survey-text","15","2.0.0","552019","p0unvuqxmsj","","{""Q0"":""gravel"",""Q1"":""riders"",""Q2"":""rode"",""Q3"":""sandpaper"",""Q4"":""jagged"",""Q5"":""bumpy"",""Q6"":""smooth"",""Q7"":""uneven"",""Q8"":""grass"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","9240","html-keyboard-response","16","2.0.0","561262","p0unvuqxmsj","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","5438","survey-likert","17","2.0.0","566704","p0unvuqxmsj","","{""Q0"":3}","recognition","Needle","critical","3","[0]","",""
"","5498","survey-likert","18","2.0.0","572204","p0unvuqxmsj","","{""Q0"":1}","recognition","Pin","studied","3","[0]","",""
"","3036","survey-likert","19","2.0.0","575242","p0unvuqxmsj","","{""Q0"":0}","recognition","Stop","unrelated","3","[0]","",""
"","2627","survey-likert","20","2.0.0","577872","p0unvuqxmsj","","{""Q0"":0}","recognition","Splinter","weakly related","3","[0]","",""
"","2656","survey-likert","21","2.0.0","580529","p0unvuqxmsj","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","3892","survey-likert","22","2.0.0","584423","p0unvuqxmsj","","{""Q0"":0}","recognition","Stitch","weakly related","3","[0]","",""
"","3389","survey-likert","23","2.0.0","587814","p0unvuqxmsj","","{""Q0"":1}","recognition","Fast","unrelated","3","[0]","",""
"","2277","survey-likert","24","2.0.0","590094","p0unvuqxmsj","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","2254","survey-likert","25","2.0.0","592350","p0unvuqxmsj","","{""Q0"":3}","recognition","Hike","weakly related","2","[0]","",""
"","3033","survey-likert","26","2.0.0","595386","p0unvuqxmsj","","{""Q0"":0}","recognition","Draw","unrelated","2","[0]","",""
"","5241","survey-likert","27","2.0.0","600629","p0unvuqxmsj","","{""Q0"":1}","recognition","Mountain","critical","2","[0]","",""
"","2551","survey-likert","28","2.0.0","603181","p0unvuqxmsj","","{""Q0"":0}","recognition","Car","unrelated","2","[0]","",""
"","2326","survey-likert","29","2.0.0","605509","p0unvuqxmsj","","{""Q0"":3}","recognition","Hill","studied","2","[0]","",""
"","5125","survey-likert","30","2.0.0","610636","p0unvuqxmsj","","{""Q0"":2}","recognition","Snow","weakly related","2","[0]","",""
"","2401","survey-likert","31","2.0.0","613039","p0unvuqxmsj","","{""Q0"":0}","recognition","Cherry","weakly related","6","[0]","",""
"","3056","survey-likert","32","2.0.0","616097","p0unvuqxmsj","","{""Q0"":3}","recognition","Sugar","studied","6","[0]","",""
"","2624","survey-likert","33","2.0.0","618723","p0unvuqxmsj","","{""Q0"":0}","recognition","Door","unrelated","6","[0]","",""
"","2890","survey-likert","34","2.0.0","621615","p0unvuqxmsj","","{""Q0"":3}","recognition","Sweet","critical","6","[0]","",""
"","2466","survey-likert","35","2.0.0","624082","p0unvuqxmsj","","{""Q0"":0}","recognition","Ghost","unrelated","6","[0]","",""
