"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","37640","fullscreen","0","2.1.0","38652","p18qqcvw3zt","","","","","","","","",""
"","107","html-keyboard-response","1","2.0.0","38761","p18qqcvw3zt","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","AudioVolumeUp","","","","","","",""
"","3116","survey-text","2","2.0.0","41894","p18qqcvw3zt","","{""participant_id"":""jaguar""}","","","","","","",""
"","2689","html-keyboard-response","3","2.0.0","44585","p18qqcvw3zt","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","AudioVolumeUp","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","71641","p18qqcvw3zt","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","95009","survey-text","5","2.0.0","167672","p18qqcvw3zt","","{""Q0"":""smooth"",""Q1"":""bumpy"",""Q2"":""road"",""Q3"":""rough"",""Q4"":""coarse"",""Q5"":""sand"",""Q6"":""sandpaper"",""Q7"":""boards"",""Q8"":""riders"",""Q9"":""uneven"",""Q10"":""gravel"",""Q11"":""stone"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","193920","p18qqcvw3zt","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","66302","survey-text","7","2.0.0","261244","p18qqcvw3zt","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""awake"",""Q3"":""dream"",""Q4"":""slumber"",""Q5"":""snooze"",""Q6"":""yawn"",""Q7"":""awake"",""Q8"":""drowsy"",""Q9"":""blanket"",""Q10"":""nap"",""Q11"":""snooze"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","287589","p18qqcvw3zt","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","58393","survey-text","9","2.0.0","346999","p18qqcvw3zt","","{""Q0"":""bike"",""Q1"":""climber"",""Q2"":""range"",""Q3"":""ski"",""Q4"":""mountain"",""Q5"":""valley"",""Q6"":""top"",""Q7"":""summit"",""Q8"":""molehill"",""Q9"":""steep"",""Q10"":""goat"",""Q11"":""climb"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
