"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","5886","fullscreen","0","2.1.0","6911","p24767oe8gg","","","","","","","","",""
"","2094","html-keyboard-response","1","2.0.0","9009","p24767oe8gg","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","2825","survey-text","2","2.0.0","11841","p24767oe8gg","","{""participant_id"":""elk""}","","","","","","",""
"","6212","html-keyboard-response","3","2.0.0","18055","p24767oe8gg","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","AudioVolumeUp","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","46037","p24767oe8gg","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","31956","survey-text","5","2.0.0","79019","p24767oe8gg","","{""Q0"":""thread"",""Q1"":""pin"",""Q2"":""sewing"",""Q3"":""sharp"",""Q4"":""nimble"",""Q5"":""hurt"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","104739","p24767oe8gg","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","41391","survey-text","7","2.0.0","147155","p24767oe8gg","","{""Q0"":""bed"",""Q1"":""nap"",""Q2"":""snooze"",""Q3"":""peace"",""Q4"":""drowsy"",""Q5"":""dream"",""Q6"":""wake"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","173311","p24767oe8gg","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","23058","survey-text","9","2.0.0","197380","p24767oe8gg","","{""Q0"":""desk"",""Q1"":""sofa"",""Q2"":""bench"",""Q3"":""swivel"",""Q4"":""rocking"",""Q5"":""sitting"",""Q6"":""wood"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","223041","p24767oe8gg","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","26803","survey-text","11","2.0.0","250857","p24767oe8gg","","{""Q0"":""range"",""Q1"":""ski"",""Q2"":""peak"",""Q3"":""goat"",""Q4"":""plain"",""Q5"":""glacier"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
