"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1573","fullscreen","0","2.1.0","2598","p2kcua5fpkl","","","","","","","","",""
"","2519","html-keyboard-response","1","2.0.0","5120","p2kcua5fpkl","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","6832","survey-text","2","2.0.0","11959","p2kcua5fpkl","","{""participant_id"":""cheetah""}","","","","","","",""
"","24023","html-keyboard-response","3","2.0.0","35984","p2kcua5fpkl","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","f","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","62810","p2kcua5fpkl","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","49860","survey-text","5","2.0.0","113702","p2kcua5fpkl","","{""Q0"":""top"",""Q1"":""glacier"",""Q2"":""summit"",""Q3"":""goat"",""Q4"":""climber"",""Q5"":""hill"",""Q6"":""valley"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","139393","p2kcua5fpkl","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","36012","survey-text","7","2.0.0","176424","p2kcua5fpkl","","{""Q0"":""rocking "",""Q1"":""bench"",""Q2"":""swivel"",""Q3"":""recliner"",""Q4"":""table"",""Q5"":""chair"",""Q6"":""sit"",""Q7"":""talking"",""Q8"":""sofa"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","202388","p2kcua5fpkl","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","42134","survey-text","9","2.0.0","245544","p2kcua5fpkl","","{""Q0"":""taste"",""Q1"":""nice"",""Q2"":""pie"",""Q3"":""tart"",""Q4"":""sugar"",""Q5"":""honey"",""Q6"":""sour "",""Q7"":""candy"",""Q8"":""bitter"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
