"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","78879","fullscreen","0","2.1.0","79896","p4hcmyo9422","","","","","","","","",""
"","13294","html-keyboard-response","1","2.0.0","93193","p4hcmyo9422","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","3814","survey-text","2","2.0.0","97013","p4hcmyo9422","","{""participant_id"":""deer""}","","","","","","",""
"","4301","html-keyboard-response","3","2.0.0","101316","p4hcmyo9422","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","j","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","127008","p4hcmyo9422","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","22197","survey-text","5","2.0.0","150214","p4hcmyo9422","","{""Q0"":""Sleep"",""Q1"":""Drowsy"",""Q2"":""Peace"",""Q3"":""Calm"",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","175845","p4hcmyo9422","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","27493","survey-text","7","2.0.0","204347","p4hcmyo9422","","{""Q0"":""Hill"",""Q1"":""Mountain"",""Q2"":""Top"",""Q3"":""Goat"",""Q4"":""Snow"",""Q5"":""Climb"",""Q6"":""Peak"",""Q7"":""Glacier"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","230374","p4hcmyo9422","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","20981","survey-text","9","2.0.0","252363","p4hcmyo9422","","{""Q0"":""Syringe"",""Q1"":""Needle"",""Q2"":""Claw"",""Q3"":""Pin"",""Q4"":""Thread"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","277963","p4hcmyo9422","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","10777","survey-text","11","2.0.0","289746","p4hcmyo9422","","{""Q0"":""Cake"",""Q1"":""Tart"",""Q2"":""Pie"",""Q3"":""Cherry"",""Q4"":""Sour"",""Q5"":""Candy"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","316204","p4hcmyo9422","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","16468","survey-text","13","2.0.0","333679","p4hcmyo9422","","{""Q0"":""Gravel"",""Q1"":""Sand"",""Q2"":""Course"",""Q3"":""Rough"",""Q4"":""Bumpy"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","359169","p4hcmyo9422","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
