"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1149","fullscreen","0","2.1.0","2152","p53z6t4hk1n","","","","","","","","",""
"","2115","html-keyboard-response","1","2.0.0","4269","p53z6t4hk1n","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","2215","survey-text","2","2.0.0","6487","p53z6t4hk1n","","{""participant_id"":""lemur""}","","","","","","",""
"","2191","html-keyboard-response","3","2.0.0","8679","p53z6t4hk1n","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","34207","p53z6t4hk1n","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","61453","survey-text","5","2.0.0","96669","p53z6t4hk1n","","{""Q0"":""knitting"",""Q1"":""injection"",""Q2"":""thorn"",""Q3"":""hurt"",""Q4"":""thread"",""Q5"":""needle"",""Q6"":""haystack"",""Q7"":""eye"",""Q8"":""syringe"",""Q9"":""pin"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","122684","p53z6t4hk1n","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","83664","survey-text","7","2.0.0","207357","p53z6t4hk1n","","{""Q0"":""gravel"",""Q1"":""sand"",""Q2"":""sandpaper"",""Q3"":""board"",""Q4"":""rugged"",""Q5"":""smooth"",""Q6"":""rough"",""Q7"":""riders"",""Q8"":""jagged"",""Q9"":""road"",""Q10"":""course"",""Q11"":""uneven"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","233130","p53z6t4hk1n","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","66552","survey-text","9","2.0.0","300692","p53z6t4hk1n","","{""Q0"":""heart "",""Q1"":""cake "",""Q2"":""tart"",""Q3"":""pie"",""Q4"":""candy"",""Q5"":""sour"",""Q6"":""honey"",""Q7"":""tooth"",""Q8"":""chocolate "",""Q9"":""sweet"",""Q10"":""soda "",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","326030","p53z6t4hk1n","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
