"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","947","fullscreen","0","2.1.0","1970","p7j19qr3qyh","","","","","","","","",""
"","1375","html-keyboard-response","1","2.0.0","3350","p7j19qr3qyh","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","6389","survey-text","2","2.0.0","9748","p7j19qr3qyh","","{""participant_id"":""beaver""}","","","","","","",""
"","3502","html-keyboard-response","3","2.0.0","13253","p7j19qr3qyh","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","AudioVolumeUp","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","38731","p7j19qr3qyh","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","80379","survey-text","5","2.0.0","120135","p7j19qr3qyh","","{""Q0"":""desk"",""Q1"":""table"",""Q2"":""sit"",""Q3"":""sitting"",""Q4"":""wood"",""Q5"":""cushion"",""Q6"":""bench"",""Q7"":""rocking"",""Q8"":""legs"",""Q9"":""seat"",""Q10"":""chair"",""Q11"":""sofa"",""Q12"":""couch"",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","146298","p7j19qr3qyh","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","86737","survey-text","7","2.0.0","234053","p7j19qr3qyh","","{""Q0"":""smooth"",""Q1"":""bumpy"",""Q2"":""sandpaper"",""Q3"":""jagged"",""Q4"":""riders"",""Q5"":""ground"",""Q6"":""boards"",""Q7"":""sand"",""Q8"":""gravel"",""Q9"":""rough"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","259609","p7j19qr3qyh","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","72723","survey-text","9","2.0.0","333357","p7j19qr3qyh","","{""Q0"":""sour"",""Q1"":""sugar"",""Q2"":""candy"",""Q3"":""honey"",""Q4"":""taste"",""Q5"":""good"",""Q6"":""heart"",""Q7"":""cake"",""Q8"":""pie"",""Q9"":""sweet"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","358930","p7j19qr3qyh","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","68484","survey-text","11","2.0.0","428437","p7j19qr3qyh","","{""Q0"":""hill"",""Q1"":""valley"",""Q2"":""summit"",""Q3"":""top"",""Q4"":""peak"",""Q5"":""plane"",""Q6"":""glacier"",""Q7"":""climber"",""Q8"":""molehill"",""Q9"":""steep"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","453901","p7j19qr3qyh","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","52134","survey-text","13","2.0.0","507043","p7j19qr3qyh","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""peace"",""Q3"":""dawn"",""Q4"":""drousy"",""Q5"":""doze"",""Q6"":""wake"",""Q7"":""awake"",""Q8"":""bed"",""Q9"":""snooze"",""Q10"":""tired"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","532330","p7j19qr3qyh","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
