"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","460936","fullscreen","0","2.1.0","461933","p9bx95mlpmt","","","","","","","","",""
"","8429","html-keyboard-response","1","2.0.0","470366","p9bx95mlpmt","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","k","","","","","","",""
"","1790","survey-text","2","2.0.0","472161","p9bx95mlpmt","","{""participant_id"":""wombat""}","","","","","","",""
"","2769","html-keyboard-response","3","2.0.0","474930","p9bx95mlpmt","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","i","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","501270","p9bx95mlpmt","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","38825","survey-text","5","2.0.0","541100","p9bx95mlpmt","","{""Q0"":""ski"",""Q1"":""bike"",""Q2"":""climber"",""Q3"":""peak"",""Q4"":""glacier"",""Q5"":""range"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","566978","p9bx95mlpmt","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","16360","survey-text","7","2.0.0","584346","p9bx95mlpmt","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""snore"",""Q3"":""drowsy"",""Q4"":""wake"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","610380","p9bx95mlpmt","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","22742","survey-text","9","2.0.0","634128","p9bx95mlpmt","","{""Q0"":""good"",""Q1"":""nice"",""Q2"":""tart"",""Q3"":""pie"",""Q4"":""sour"",""Q5"":""sugar"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","659639","p9bx95mlpmt","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","110585","survey-text","11","2.0.0","771228","p9bx95mlpmt","","{""Q0"":""thimble"",""Q1"":""point"",""Q2"":""prick"",""Q3"":""haystick"",""Q4"":""sewing"",""Q5"":""needle"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","797404","p9bx95mlpmt","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","21432","survey-text","13","2.0.0","819843","p9bx95mlpmt","","{""Q0"":""rocking"",""Q1"":""bench"",""Q2"":""sitting"",""Q3"":""swivel"",""Q4"":""couch"",""Q5"":""sofa"",""Q6"":""cushion"",""Q7"":""desk"",""Q8"":""chair"",""Q9"":""bench"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","846332","p9bx95mlpmt","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","27237","survey-text","15","2.0.0","874576","p9bx95mlpmt","","{""Q0"":""road"",""Q1"":""smooth"",""Q2"":""bumpy"",""Q3"":""coarse"",""Q4"":""ready"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","7880","html-keyboard-response","16","2.0.0","882457","p9bx95mlpmt","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   ","k","","","","","","",""
"","5132","survey-likert","17","2.0.0","887594","p9bx95mlpmt","","{""Q0"":0}","recognition","Draw","unrelated","2","[0]","",""
"","2880","survey-likert","18","2.0.0","890476","p9bx95mlpmt","","{""Q0"":0}","recognition","Snow","weakly related","2","[0]","",""
"","2430","survey-likert","19","2.0.0","892908","p9bx95mlpmt","","{""Q0"":0}","recognition","Car","unrelated","2","[0]","",""
"","1849","survey-likert","20","2.0.0","894759","p9bx95mlpmt","","{""Q0"":0}","recognition","Hill","studied","2","[0]","",""
"","2515","survey-likert","21","2.0.0","897277","p9bx95mlpmt","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","1929","survey-likert","22","2.0.0","899208","p9bx95mlpmt","","{""Q0"":3}","recognition","Mountain","critical","2","[0]","",""
"","1349","survey-likert","23","2.0.0","900558","p9bx95mlpmt","","{""Q0"":2}","recognition","Hike","weakly related","2","[0]","",""
"","2100","survey-likert","24","2.0.0","902659","p9bx95mlpmt","","{""Q0"":0}","recognition","Calm","weakly related","5","[0]","",""
