"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","9207","fullscreen","0","2.1.0","10219","p9s3x439nd0","","","","","","","","",""
"","1604","html-keyboard-response","1","2.0.0","11826","p9s3x439nd0","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","4169","survey-text","2","2.0.0","16000","p9s3x439nd0","","{""participant_id"":""crow""}","","","","","","",""
"","19585","html-keyboard-response","3","2.0.0","35586","p9s3x439nd0","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","62590","p9s3x439nd0","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","28784","survey-text","5","2.0.0","92382","p9s3x439nd0","","{""Q0"":""ski"",""Q1"":""climb"",""Q2"":""climber"",""Q3"":""peak"",""Q4"":""bike"",""Q5"":""mountain"",""Q6"":""goat"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","118217","p9s3x439nd0","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","34169","survey-text","7","2.0.0","153396","p9s3x439nd0","","{""Q0"":""rocking"",""Q1"":""swivel"",""Q2"":""sick"",""Q3"":""bench"",""Q4"":""table"",""Q5"":""leg"",""Q6"":""sofa"",""Q7"":""couch"",""Q8"":""chair"",""Q9"":""sitting"",""Q10"":""cushion"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","179042","p9s3x439nd0","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","33365","survey-text","9","2.0.0","213413","p9s3x439nd0","","{""Q0"":""syringe"",""Q1"":""cloth"",""Q2"":""knitting"",""Q3"":""hurt"",""Q4"":""prick"",""Q5"":""sewing"",""Q6"":""thimble"",""Q7"":""eye"",""Q8"":""haystack"",""Q9"":""thread"",""Q10"":""point"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","239362","p9s3x439nd0","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","33092","survey-text","11","2.0.0","273463","p9s3x439nd0","","{""Q0"":""chocolate"",""Q1"":""pie"",""Q2"":""honey"",""Q3"":""sugar"",""Q4"":""good"",""Q5"":""taste"",""Q6"":""bitter"",""Q7"":""sour"",""Q8"":""candy"",""Q9"":""tart"",""Q10"":""heart"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","299242","p9s3x439nd0","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","31896","survey-text","13","2.0.0","332145","p9s3x439nd0","","{""Q0"":""slumber"",""Q1"":""peace"",""Q2"":""yawn"",""Q3"":""drowsy"",""Q4"":""nap"",""Q5"":""bed"",""Q6"":""wake"",""Q7"":""awake"",""Q8"":""snore"",""Q9"":""snooze"",""Q10"":""blanket"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","358609","p9s3x439nd0","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","53828","survey-text","15","2.0.0","413445","p9s3x439nd0","","{""Q0"":""rough"",""Q1"":""rugged"",""Q2"":""gravel"",""Q3"":""sand"",""Q4"":""smooth"",""Q5"":""tough"",""Q6"":""board"",""Q7"":""bumpy"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","7093","html-keyboard-response","16","2.0.0","420540","p9s3x439nd0","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","10984","survey-likert","17","2.0.0","431529","p9s3x439nd0","","{""Q0"":2}","recognition","Snow","weakly related","2","[0]","",""
"","11066","survey-likert","18","2.0.0","442597","p9s3x439nd0","","{""Q0"":1}","recognition","Hike","weakly related","2","[0]","",""
"","2028","survey-likert","19","2.0.0","444628","p9s3x439nd0","","{""Q0"":3}","recognition","Mountain","critical","2","[0]","",""
"","2581","survey-likert","20","2.0.0","447212","p9s3x439nd0","","{""Q0"":0}","recognition","Draw","unrelated","2","[0]","",""
"","2747","survey-likert","21","2.0.0","449962","p9s3x439nd0","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","2080","survey-likert","22","2.0.0","452045","p9s3x439nd0","","{""Q0"":0}","recognition","Car","unrelated","2","[0]","",""
"","4780","survey-likert","23","2.0.0","456828","p9s3x439nd0","","{""Q0"":1}","recognition","Hill","studied","2","[0]","",""
"","2079","survey-likert","24","2.0.0","458910","p9s3x439nd0","","{""Q0"":0}","recognition","Ball","unrelated","1","[0]","",""
"","2714","survey-likert","25","2.0.0","461627","p9s3x439nd0","","{""Q0"":3}","recognition","Couch","studied","1","[0]","",""
"","3946","survey-likert","26","2.0.0","465576","p9s3x439nd0","","{""Q0"":1}","recognition","Shoe","unrelated","1","[0]","",""
"","1850","survey-likert","27","2.0.0","467427","p9s3x439nd0","","{""Q0"":3}","recognition","Table","studied","1","[0]","",""
"","2630","survey-likert","28","2.0.0","470060","p9s3x439nd0","","{""Q0"":1}","recognition","Floor","weakly related","1","[0]","",""
"","1898","survey-likert","29","2.0.0","471961","p9s3x439nd0","","{""Q0"":3}","recognition","Cushion","weakly related","1","[0]","",""
"","1747","survey-likert","30","2.0.0","473710","p9s3x439nd0","","{""Q0"":3}","recognition","Chair","critical","1","[0]","",""
"","2547","survey-likert","31","2.0.0","476261","p9s3x439nd0","","{""Q0"":0}","recognition","Fast","unrelated","3","[0]","",""
"","2180","survey-likert","32","2.0.0","478443","p9s3x439nd0","","{""Q0"":2}","recognition","Stitch","weakly related","3","[0]","",""
"","1848","survey-likert","33","2.0.0","480294","p9s3x439nd0","","{""Q0"":2}","recognition","Pin","studied","3","[0]","",""
"","2981","survey-likert","34","2.0.0","483277","p9s3x439nd0","","{""Q0"":0}","recognition","Needle","critical","3","[0]","",""
"","4764","survey-likert","35","2.0.0","488044","p9s3x439nd0","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","1864","survey-likert","36","2.0.0","489910","p9s3x439nd0","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","1747","survey-likert","37","2.0.0","491660","p9s3x439nd0","","{""Q0"":1}","recognition","Splinter","weakly related","3","[0]","",""
"","5480","survey-likert","38","2.0.0","497143","p9s3x439nd0","","{""Q0"":2}","recognition","Sugar","studied","6","[0]","",""
"","4514","survey-likert","39","2.0.0","501660","p9s3x439nd0","","{""Q0"":0}","recognition","Salty","weakly related","6","[0]","",""
"","2097","survey-likert","40","2.0.0","503760","p9s3x439nd0","","{""Q0"":1}","recognition","Door","unrelated","6","[0]","",""
"","3498","survey-likert","41","2.0.0","507261","p9s3x439nd0","","{""Q0"":1}","recognition","Sweet","critical","6","[0]","",""
