"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1956","fullscreen","0","2.1.0","2982","pap1wkm8ouu","","","","","","","","",""
"","1278","html-keyboard-response","1","2.0.0","4264","pap1wkm8ouu","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","10578","survey-text","2","2.0.0","14855","pap1wkm8ouu","","{""participant_id"":""camel""}","","","","","","",""
"","4521","html-keyboard-response","3","2.0.0","19380","pap1wkm8ouu","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","46934","pap1wkm8ouu","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","65368","survey-text","5","2.0.0","113334","pap1wkm8ouu","","{""Q0"":""sour"",""Q1"":""candy"",""Q2"":""sugar"",""Q3"":""bitter"",""Q4"":""cake"",""Q5"":""tart"",""Q6"":""pie"",""Q7"":""chocolate"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","139383","pap1wkm8ouu","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","35036","survey-text","7","2.0.0","175441","pap1wkm8ouu","","{""Q0"":""table"",""Q1"":""sit"",""Q2"":""sitting"",""Q3"":""stool"",""Q4"":""rocking"",""Q5"":""recliner"",""Q6"":""bench"",""Q7"":""legs"",""Q8"":""swivel"",""Q9"":""wood"",""Q10"":""desk"",""Q11"":""chair"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","201981","pap1wkm8ouu","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","63109","survey-text","9","2.0.0","266111","pap1wkm8ouu","","{""Q0"":""smooth"",""Q1"":""bumpy"",""Q2"":""jaggedy"",""Q3"":""road"",""Q4"":""sandpaper"",""Q5"":""coarse"",""Q6"":""ride"",""Q7"":""windy"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","294250","pap1wkm8ouu","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","39022","survey-text","11","2.0.0","334287","pap1wkm8ouu","","{""Q0"":""thorn"",""Q1"":""pin"",""Q2"":""haystack"",""Q3"":""knitting"",""Q4"":""inject"",""Q5"":""syringe"",""Q6"":""hurt"",""Q7"":""pointy"",""Q8"":""sharp"",""Q9"":""point"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","360669","pap1wkm8ouu","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","48369","survey-text","13","2.0.0","410072","pap1wkm8ouu","","{""Q0"":""hill"",""Q1"":""valley"",""Q2"":""glacier"",""Q3"":""range"",""Q4"":""ski"",""Q5"":""goat"",""Q6"":""climb"",""Q7"":""peak"",""Q8"":""downhill"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","436426","pap1wkm8ouu","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","25055","survey-text","15","2.0.0","462501","pap1wkm8ouu","","{""Q0"":""snore"",""Q1"":""nap"",""Q2"":""peace"",""Q3"":""yawn"",""Q4"":""slumber"",""Q5"":""bed"",""Q6"":""sleep"",""Q7"":""tired"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","6882","html-keyboard-response","16","2.0.0","469389","pap1wkm8ouu","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","3780","survey-likert","17","2.0.0","473179","pap1wkm8ouu","","{""Q0"":2}","recognition","Salty","weakly related","6","[0]","",""
"","2046","survey-likert","18","2.0.0","475236","pap1wkm8ouu","","{""Q0"":3}","recognition","Sour","studied","6","[0]","",""
"","3924","survey-likert","19","2.0.0","479170","pap1wkm8ouu","","{""Q0"":2}","recognition","Door","unrelated","6","[0]","",""
"","9876","survey-likert","20","2.0.0","489056","pap1wkm8ouu","","{""Q0"":0}","recognition","Sugar","studied","6","[0]","",""
"","4230","survey-likert","21","2.0.0","493298","pap1wkm8ouu","","{""Q0"":0}","recognition","Sweet","critical","6","[0]","",""
"","2197","survey-likert","22","2.0.0","495503","pap1wkm8ouu","","{""Q0"":0}","recognition","Cherry","weakly related","6","[0]","",""
"","2328","survey-likert","23","2.0.0","497839","pap1wkm8ouu","","{""Q0"":0}","recognition","Ghost","unrelated","6","[0]","",""
"","1702","survey-likert","24","2.0.0","499553","pap1wkm8ouu","","{""Q0"":0}","recognition","Ball","unrelated","1","[0]","",""
"","2905","survey-likert","25","2.0.0","502467","pap1wkm8ouu","","{""Q0"":1}","recognition","Chair","critical","1","[0]","",""
"","2065","survey-likert","26","2.0.0","504542","pap1wkm8ouu","","{""Q0"":3}","recognition","Cushion","weakly related","1","[0]","",""
"","2286","survey-likert","27","2.0.0","506841","pap1wkm8ouu","","{""Q0"":3}","recognition","Table","studied","1","[0]","",""
"","1398","survey-likert","28","2.0.0","508247","pap1wkm8ouu","","{""Q0"":3}","recognition","Couch","studied","1","[0]","",""
"","2126","survey-likert","29","2.0.0","510384","pap1wkm8ouu","","{""Q0"":0}","recognition","Floor","weakly related","1","[0]","",""
"","2152","survey-likert","30","2.0.0","512547","pap1wkm8ouu","","{""Q0"":0}","recognition","Shoe","unrelated","1","[0]","",""
