"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","35046","fullscreen","0","2.1.0","36072","paz6h3xv1n0","","","","","","","","",""
"","2534","html-keyboard-response","1","2.0.0","38612","paz6h3xv1n0","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","1918","survey-text","2","2.0.0","40547","paz6h3xv1n0","","{""participant_id"":""lamb""}","","","","","","",""
"","5333","html-keyboard-response","3","2.0.0","45881","paz6h3xv1n0","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","71470","paz6h3xv1n0","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","22430","survey-text","5","2.0.0","94911","paz6h3xv1n0","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":""sitting"",""Q11"":""chair"",""Q12"":""stool"",""Q13"":""rocking"",""Q14"":""bench""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","121160","paz6h3xv1n0","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","14407","survey-text","7","2.0.0","136577","paz6h3xv1n0","","{""Q0"":""smooth"",""Q1"":""bumpy"",""Q2"":""road"",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":""sand"",""Q14"":""gravel""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","162166","paz6h3xv1n0","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","10118","survey-text","9","2.0.0","173292","paz6h3xv1n0","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":""bike"",""Q11"":""climber"",""Q12"":""range"",""Q13"":""steep"",""Q14"":""ski""}","free_recall","","","","","",""
