"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","14498","fullscreen","0","2.1.0","15506","pbzttx8g7pb","","","","","","","","",""
"","2307","html-keyboard-response","1","2.0.0","17816","pbzttx8g7pb","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","4284","survey-text","2","2.0.0","22105","pbzttx8g7pb","","{""participant_id"":""Manatee""}","","","","","","",""
"","4542","html-keyboard-response","3","2.0.0","26648","pbzttx8g7pb","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","52345","pbzttx8g7pb","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","54802","survey-text","5","2.0.0","108155","pbzttx8g7pb","","{""Q0"":""Knitting"",""Q1"":""Clothe"",""Q2"":""Syringe"",""Q3"":""Needle"",""Q4"":""Sharp "",""Q5"":""Point"",""Q6"":""Sewing"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","134994","pbzttx8g7pb","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","51852","survey-text","7","2.0.0","187854","pbzttx8g7pb","","{""Q0"":""Sand"",""Q1"":""Ground"",""Q2"":""Gravel"",""Q3"":""Rough"",""Q4"":""Smooth"",""Q5"":""Tough"",""Q6"":""Roads"",""Q7"":""Sandpaper"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","213513","pbzttx8g7pb","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","95984","survey-text","9","2.0.0","310506","pbzttx8g7pb","","{""Q0"":""Yawn"",""Q1"":""Peace"",""Q2"":""Tired"",""Q3"":""Dream"",""Q4"":""Drowsy"",""Q5"":""Sleep"",""Q6"":""Rest"",""Q7"":""Snore"",""Q8"":""Nap"",""Q9"":""Slumber"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","336360","pbzttx8g7pb","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","67038","survey-text","11","2.0.0","404404","pbzttx8g7pb","","{""Q0"":""Steep"",""Q1"":""Ski"",""Q2"":""Ranger"",""Q3"":""Bike"",""Q4"":""Glacier"",""Q5"":""Peak"",""Q6"":""Goat"",""Q7"":""Climb"",""Q8"":""Summit"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","430321","pbzttx8g7pb","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","73310","survey-text","13","2.0.0","504637","pbzttx8g7pb","","{""Q0"":""Pie"",""Q1"":""Cake"",""Q2"":""Chocolate"",""Q3"":""Heart"",""Q4"":""Soda"",""Q5"":""Sour"",""Q6"":""Candy"",""Q7"":""Tart"",""Q8"":""Sweet"",""Q9"":""Sugary"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","530399","pbzttx8g7pb","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","78665","survey-text","15","2.0.0","610070","pbzttx8g7pb","","{""Q0"":""Bench"",""Q1"":""Walking"",""Q2"":""Table"",""Q3"":""Chair"",""Q4"":""Legs"",""Q5"":""Wood"",""Q6"":""Sitting"",""Q7"":""Desk"",""Q8"":""Sofa"",""Q9"":""Bench"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","21358","html-keyboard-response","16","2.0.0","631429","pbzttx8g7pb","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","3703","survey-likert","17","2.0.0","635136","pbzttx8g7pb","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","2064","survey-likert","18","2.0.0","637202","pbzttx8g7pb","","{""Q0"":3}","recognition","Needle","critical","3","[0]","",""
"","1598","survey-likert","19","2.0.0","638802","pbzttx8g7pb","","{""Q0"":3}","recognition","Stitch","weakly related","3","[0]","",""
"","3264","survey-likert","20","2.0.0","642069","pbzttx8g7pb","","{""Q0"":2}","recognition","Pin","studied","3","[0]","",""
"","3897","survey-likert","21","2.0.0","645968","pbzttx8g7pb","","{""Q0"":1}","recognition","Fast","unrelated","3","[0]","",""
"","2265","survey-likert","22","2.0.0","648235","pbzttx8g7pb","","{""Q0"":1}","recognition","Splinter","weakly related","3","[0]","",""
"","2348","survey-likert","23","2.0.0","650585","pbzttx8g7pb","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","1698","survey-likert","24","2.0.0","652286","pbzttx8g7pb","","{""Q0"":2}","recognition","Touch","studied","4","[0]","",""
"","1764","survey-likert","25","2.0.0","654052","pbzttx8g7pb","","{""Q0"":3}","recognition","Rough","critical","4","[0]","",""
"","2881","survey-likert","26","2.0.0","656935","pbzttx8g7pb","","{""Q0"":1}","recognition","Key","unrelated","4","[0]","",""
"","3631","survey-likert","27","2.0.0","660568","pbzttx8g7pb","","{""Q0"":0}","recognition","Project","unrelated","4","[0]","",""
"","2465","survey-likert","28","2.0.0","663035","pbzttx8g7pb","","{""Q0"":0}","recognition","Chalk","weakly related","4","[0]","",""
"","1948","survey-likert","29","2.0.0","664985","pbzttx8g7pb","","{""Q0"":3}","recognition","Smooth","studied","4","[0]","",""
"","2680","survey-likert","30","2.0.0","667668","pbzttx8g7pb","","{""Q0"":1}","recognition","Spike","weakly related","4","[0]","",""
"","2198","survey-likert","31","2.0.0","669868","pbzttx8g7pb","","{""Q0"":3}","recognition","Tired","studied","5","[0]","",""
"","1864","survey-likert","32","2.0.0","671735","pbzttx8g7pb","","{""Q0"":0}","recognition","Coma","weakly related","5","[0]","",""
"","1731","survey-likert","33","2.0.0","673468","pbzttx8g7pb","","{""Q0"":0}","recognition","Fish","unrelated","5","[0]","",""
"","1998","survey-likert","34","2.0.0","675468","pbzttx8g7pb","","{""Q0"":3}","recognition","Bed","studied","5","[0]","",""
"","4315","survey-likert","35","2.0.0","679785","pbzttx8g7pb","","{""Q0"":2}","recognition","Calm","weakly related","5","[0]","",""
"","2698","survey-likert","36","2.0.0","682485","pbzttx8g7pb","","{""Q0"":0}","recognition","Chess","unrelated","5","[0]","",""
"","2148","survey-likert","37","2.0.0","684635","pbzttx8g7pb","","{""Q0"":3}","recognition","Sleep","critical","5","[0]","",""
"","3831","survey-likert","38","2.0.0","688468","pbzttx8g7pb","","{""Q0"":1}","recognition","Draw","unrelated","2","[0]","",""
"","2664","survey-likert","39","2.0.0","691135","pbzttx8g7pb","","{""Q0"":2}","recognition","Hill","studied","2","[0]","",""
"","3215","survey-likert","40","2.0.0","694352","pbzttx8g7pb","","{""Q0"":0}","recognition","Car","unrelated","2","[0]","",""
"","3498","survey-likert","41","2.0.0","697852","pbzttx8g7pb","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","3131","survey-likert","42","2.0.0","700985","pbzttx8g7pb","","{""Q0"":2}","recognition","Hike","weakly related","2","[0]","",""
"","7398","survey-likert","43","2.0.0","708385","pbzttx8g7pb","","{""Q0"":3}","recognition","Snow","weakly related","2","[0]","",""
"","1998","survey-likert","44","2.0.0","710385","pbzttx8g7pb","","{""Q0"":2}","recognition","Mountain","critical","2","[0]","",""
"","2281","survey-likert","45","2.0.0","712668","pbzttx8g7pb","","{""Q0"":3}","recognition","Sweet","critical","6","[0]","",""
"","3248","survey-likert","46","2.0.0","715918","pbzttx8g7pb","","{""Q0"":1}","recognition","Salty","weakly related","6","[0]","",""
