"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1413","fullscreen","0","2.1.0","2428","pcbcgbnd6ar","","","","","","","","",""
"","3045","html-keyboard-response","1","2.0.0","5476","pcbcgbnd6ar","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","5861","survey-text","2","2.0.0","11343","pcbcgbnd6ar","","{""participant_id"":""meerkat""}","","","","","","",""
"","37955","html-keyboard-response","3","2.0.0","49301","pcbcgbnd6ar","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","75588","pcbcgbnd6ar","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","47690","survey-text","5","2.0.0","124289","pcbcgbnd6ar","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""awake"",""Q3"":""blanket"",""Q4"":""cozy"",""Q5"":""snooze"",""Q6"":""asleep"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","150410","pcbcgbnd6ar","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","30048","survey-text","7","2.0.0","181469","pcbcgbnd6ar","","{""Q0"":""hill"",""Q1"":""valley"",""Q2"":""summit"",""Q3"":""climber"",""Q4"":""steep"",""Q5"":""goat"",""Q6"":""peak"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","207252","pcbcgbnd6ar","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","59043","survey-text","9","2.0.0","267305","pcbcgbnd6ar","","{""Q0"":""sit"",""Q1"":""table"",""Q2"":""wood"",""Q3"":""rocking"",""Q4"":""legs"",""Q5"":""chair"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","293113","pcbcgbnd6ar","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","25871","survey-text","11","2.0.0","319991","pcbcgbnd6ar","","{""Q0"":""syringe"",""Q1"":""claw"",""Q2"":""knitting"",""Q3"":""hurt"",""Q4"":""injection"",""Q5"":""point"",""Q6"":""sharp"",""Q7"":""needle"",""Q8"":""sewing"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","345566","pcbcgbnd6ar","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","15447","survey-text","13","2.0.0","362019","pcbcgbnd6ar","","{""Q0"":""soda"",""Q1"":""chocolate"",""Q2"":""heart"",""Q3"":""cake"",""Q4"":""pie"",""Q5"":""good"",""Q6"":""sour"",""Q7"":""candy"",""Q8"":""taste"",""Q9"":""tooth"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","388212","pcbcgbnd6ar","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
