"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","8109","fullscreen","0","2.1.0","9125","pcby9slx9h4","","","","","","","","",""
"","10355","html-keyboard-response","1","2.0.0","19482","pcby9slx9h4","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","4526","survey-text","2","2.0.0","24010","pcby9slx9h4","","{""participant_id"":""butterfly""}","","","","","","",""
"","4334","html-keyboard-response","3","2.0.0","28345","pcby9slx9h4","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","54453","pcby9slx9h4","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","30023","survey-text","5","2.0.0","85485","pcby9slx9h4","","{""Q0"":""peak"",""Q1"":""valley"",""Q2"":""climber"",""Q3"":""bike"",""Q4"":""ski"",""Q5"":""top"",""Q6"":""hill"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","112093","pcby9slx9h4","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","57725","survey-text","7","2.0.0","170824","pcby9slx9h4","","{""Q0"":""sandpaper"",""Q1"":""gravel"",""Q2"":""sand"",""Q3"":""uneven"",""Q4"":""tough"",""Q5"":""bumpy"",""Q6"":""smooth"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","196767","pcby9slx9h4","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","45983","survey-text","9","2.0.0","243756","pcby9slx9h4","","{""Q0"":""yawm"",""Q1"":""drowsy"",""Q2"":""blanket"",""Q3"":""tired"",""Q4"":""bed"",""Q5"":""snooze"",""Q6"":""awake"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
