"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","932","fullscreen","0","2.1.0","1941","pck91rc4zg8","","","","","","","","",""
"","1375","html-keyboard-response","1","2.0.0","3318","pck91rc4zg8","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","1820","survey-text","2","2.0.0","5142","pck91rc4zg8","","{""participant_id"":""mouse""}","","","","","","",""
"","30821","html-keyboard-response","3","2.0.0","35964","pck91rc4zg8","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","62475","pck91rc4zg8","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","47036","survey-text","5","2.0.0","110517","pck91rc4zg8","","{""Q0"":""jagged"",""Q1"":""smooth"",""Q2"":""road"",""Q3"":""course"",""Q4"":""gravel"",""Q5"":""ground"",""Q6"":""ready"",""Q7"":""sandpaper"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","136456","pck91rc4zg8","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","40623","survey-text","7","2.0.0","178086","pck91rc4zg8","","{""Q0"":""couch"",""Q1"":""table"",""Q2"":""leg"",""Q3"":""swivel"",""Q4"":""recliner"",""Q5"":""desk "",""Q6"":""chair"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","203938","pck91rc4zg8","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","22590","survey-text","9","2.0.0","227540","pck91rc4zg8","","{""Q0"":""ski"",""Q1"":""range"",""Q2"":""bike"",""Q3"":""summit"",""Q4"":""climb"",""Q5"":""glacier"",""Q6"":""mountain"",""Q7"":""steep"",""Q8"":""ski"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","253095","pck91rc4zg8","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","19958","survey-text","11","2.0.0","274061","pck91rc4zg8","","{""Q0"":""tarte"",""Q1"":""pie"",""Q2"":""cake"",""Q3"":""sugar"",""Q4"":""honey"",""Q5"":""bitter"",""Q6"":""good"",""Q7"":""candy"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","299558","pck91rc4zg8","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","26430","survey-text","13","2.0.0","326999","pck91rc4zg8","","{""Q0"":""yawn"",""Q1"":""sleep"",""Q2"":""rest"",""Q3"":""bed"",""Q4"":""drowsy"",""Q5"":""dream"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","352494","pck91rc4zg8","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","55074","survey-text","15","2.0.0","408575","pck91rc4zg8","","{""Q0"":""cloth"",""Q1"":""syringe"",""Q2"":""injection"",""Q3"":""knitting"",""Q4"":""sharp"",""Q5"":""thimble"",""Q6"":""sew"",""Q7"":""thread"",""Q8"":""hurt"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","7957","html-keyboard-response","16","2.0.0","416533","pck91rc4zg8","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","5856","survey-likert","17","2.0.0","422392","pck91rc4zg8","","{""Q0"":3}","recognition","Rough","critical","4","[0]","",""
"","3915","survey-likert","18","2.0.0","426308","pck91rc4zg8","","{""Q0"":1}","recognition","Chalk","weakly related","4","[0]","",""
"","1854","survey-likert","19","2.0.0","428164","pck91rc4zg8","","{""Q0"":0}","recognition","Project","unrelated","4","[0]","",""
"","2605","survey-likert","20","2.0.0","430771","pck91rc4zg8","","{""Q0"":1}","recognition","Touch","studied","4","[0]","",""
"","2353","survey-likert","21","2.0.0","433125","pck91rc4zg8","","{""Q0"":1}","recognition","Key","unrelated","4","[0]","",""
"","3169","survey-likert","22","2.0.0","436297","pck91rc4zg8","","{""Q0"":1}","recognition","Spike","weakly related","4","[0]","",""
"","4172","survey-likert","23","2.0.0","440471","pck91rc4zg8","","{""Q0"":3}","recognition","Smooth","studied","4","[0]","",""
"","1891","survey-likert","24","2.0.0","442363","pck91rc4zg8","","{""Q0"":0}","recognition","Shoe","unrelated","1","[0]","",""
"","2581","survey-likert","25","2.0.0","444947","pck91rc4zg8","","{""Q0"":2}","recognition","Chair","critical","1","[0]","",""
"","1651","survey-likert","26","2.0.0","446600","pck91rc4zg8","","{""Q0"":3}","recognition","Couch","studied","1","[0]","",""
"","2599","survey-likert","27","2.0.0","449200","pck91rc4zg8","","{""Q0"":3}","recognition","Table","studied","1","[0]","",""
"","2098","survey-likert","28","2.0.0","451300","pck91rc4zg8","","{""Q0"":1}","recognition","Cushion","weakly related","1","[0]","",""
"","2311","survey-likert","29","2.0.0","453613","pck91rc4zg8","","{""Q0"":1}","recognition","Floor","weakly related","1","[0]","",""
"","1594","survey-likert","30","2.0.0","455208","pck91rc4zg8","","{""Q0"":1}","recognition","Ball","unrelated","1","[0]","",""
"","2457","survey-likert","31","2.0.0","457667","pck91rc4zg8","","{""Q0"":0}","recognition","Click: Definitely New","attention_check","none","[0]","",""
"","3057","survey-likert","32","2.0.0","460725","pck91rc4zg8","","{""Q0"":0}","recognition","Car","unrelated","2","[0]","",""
"","2066","survey-likert","33","2.0.0","462792","pck91rc4zg8","","{""Q0"":1}","recognition","Hill","studied","2","[0]","",""
