"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","46159","fullscreen","0","2.1.0","47169","pcpe2s6p8bw","","","","","","","","",""
"","38165","html-keyboard-response","1","2.0.0","85340","pcpe2s6p8bw","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","a","","","","","","",""
"","6121","survey-text","2","2.0.0","91465","pcpe2s6p8bw","","{""participant_id"":""lynx""}","","","","","","",""
"","21606","html-keyboard-response","3","2.0.0","113074","pcpe2s6p8bw","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","s","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","139373","pcpe2s6p8bw","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","51825","survey-text","5","2.0.0","192209","pcpe2s6p8bw","","{""Q0"":""table"",""Q1"":""sitting"",""Q2"":""legs"",""Q3"":""couch"",""Q4"":""swivel"",""Q5"":""desk"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","218629","pcpe2s6p8bw","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","20616","survey-text","7","2.0.0","240255","pcpe2s6p8bw","","{""Q0"":""cake"",""Q1"":""tart"",""Q2"":""pie"",""Q3"":""sour"",""Q4"":""tooth"",""Q5"":""bitter"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","265743","pcpe2s6p8bw","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","45911","survey-text","9","2.0.0","312664","pcpe2s6p8bw","","{""Q0"":""eye"",""Q1"":""prick"",""Q2"":""knitting"",""Q3"":""haystack"",""Q4"":""nimble"",""Q5"":""thread"",""Q6"":""knitting"",""Q7"":""hurt"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","339709","pcpe2s6p8bw","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","53855","survey-text","11","2.0.0","394574","pcpe2s6p8bw","","{""Q0"":""smooth"",""Q1"":""sandpaper"",""Q2"":""jagged"",""Q3"":""gravel"",""Q4"":""bumpy"",""Q5"":""course"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","421436","pcpe2s6p8bw","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","80414","survey-text","13","2.0.0","502860","pcpe2s6p8bw","","{""Q0"":""snore"",""Q1"":""sleep"",""Q2"":""drowsy"",""Q3"":""yawn"",""Q4"":""bed"",""Q5"":""awake"",""Q6"":""rest"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","528902","pcpe2s6p8bw","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","41937","survey-text","15","2.0.0","571848","pcpe2s6p8bw","","{""Q0"":""climb"",""Q1"":""climber"",""Q2"":""ski"",""Q3"":""summit"",""Q4"":""valley"",""Q5"":""mowhill"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","22129","html-keyboard-response","16","2.0.0","593979","pcpe2s6p8bw","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","7211","survey-likert","17","2.0.0","601194","pcpe2s6p8bw","","{""Q0"":0}","recognition","Shoe","unrelated","1","[0]","",""
"","3147","survey-likert","18","2.0.0","604343","pcpe2s6p8bw","","{""Q0"":1}","recognition","Floor","weakly related","1","[0]","",""
"","3366","survey-likert","19","2.0.0","607712","pcpe2s6p8bw","","{""Q0"":1}","recognition","Ball","unrelated","1","[0]","",""
