"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","10629","fullscreen","0","2.1.0","11639","pe2cg045kwa","","","","","","","","",""
"","5574","html-keyboard-response","1","2.0.0","17216","pe2cg045kwa","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","5050","survey-text","2","2.0.0","22270","pe2cg045kwa","","{""participant_id"":""owl""}","","","","","","",""
"","5134","html-keyboard-response","3","2.0.0","27405","pe2cg045kwa","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","53740","pe2cg045kwa","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","40707","survey-text","5","2.0.0","95455","pe2cg045kwa","","{""Q0"":"""",""Q1"":""road"",""Q2"":""jacket"",""Q3"":""sandpaper"",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":""sand"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""gravel""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","120897","pe2cg045kwa","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","26249","survey-text","7","2.0.0","148154","pe2cg045kwa","","{""Q0"":""threat "",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":""hurt"",""Q10"":""injection"",""Q11"":"""",""Q12"":"""",""Q13"":""clock"",""Q14"":""netting ""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","173926","pe2cg045kwa","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","24853","survey-text","9","2.0.0","199785","pe2cg045kwa","","{""Q0"":""table"",""Q1"":""leg"",""Q2"":""sit"",""Q3"":""desk "",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":""sitting "",""Q13"":""rocking"",""Q14"":""bench""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","225728","pe2cg045kwa","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","31170","survey-text","11","2.0.0","257901","pe2cg045kwa","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""awake"",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":""nap"",""Q10"":""peace"",""Q11"":"""",""Q12"":"""",""Q13"":""yawn"",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","283813","pe2cg045kwa","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","24780","survey-text","13","2.0.0","309600","pe2cg045kwa","","{""Q0"":""hill"",""Q1"":""valley"",""Q2"":""summit"",""Q3"":""climb"",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""ski""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","335743","pe2cg045kwa","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","36884","survey-text","15","2.0.0","373634","pe2cg045kwa","","{""Q0"":""sour"",""Q1"":""candy"",""Q2"":""bitter"",""Q3"":""good "",""Q4"":""taste "",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":""tart "",""Q12"":"""",""Q13"":""cake"",""Q14"":""pie""}","free_recall","","","","","",""
"","6731","html-keyboard-response","16","2.0.0","380366","pe2cg045kwa","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","4480","survey-likert","17","2.0.0","384850","pe2cg045kwa","","{""Q0"":0}","recognition","Spike","weakly related","4","[0]","",""
