"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","160161","fullscreen","0","2.1.0","161181","peudo7nyzdy","","","","","","","","",""
"","2988","html-keyboard-response","1","2.0.0","164171","peudo7nyzdy","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","6593","survey-text","2","2.0.0","170768","peudo7nyzdy","","{""participant_id"":""koala""}","","","","","","",""
"","4442","html-keyboard-response","3","2.0.0","175211","peudo7nyzdy","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","F11","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","201032","peudo7nyzdy","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","33553","survey-text","5","2.0.0","235596","peudo7nyzdy","","{""Q0"":""thread"",""Q1"":""knitting"",""Q2"":""cloth"",""Q3"":""point"",""Q4"":""sharp "",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","261569","peudo7nyzdy","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","18480","survey-text","7","2.0.0","281072","peudo7nyzdy","","{""Q0"":""sour"",""Q1"":""candy"",""Q2"":""good"",""Q3"":""cake"",""Q4"":""soft"",""Q5"":""bitter"",""Q6"":""sugar "",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","307150","peudo7nyzdy","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","18396","survey-text","9","2.0.0","326554","peudo7nyzdy","","{""Q0"":""bed"",""Q1"":""doze"",""Q2"":""drowsy"",""Q3"":""yawn"",""Q4"":""nap"",""Q5"":""blanket"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","352240","peudo7nyzdy","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","16180","survey-text","11","2.0.0","369429","peudo7nyzdy","","{""Q0"":""table"",""Q1"":""sitting"",""Q2"":""bench"",""Q3"":""stool"",""Q4"":""leg"",""Q5"":""sitting"",""Q6"":""desk"",""Q7"":""chair"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","396030","peudo7nyzdy","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
