"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1318","fullscreen","0","2.1.0","2336","pfnqe0os2au","","","","","","","","",""
"","1431","html-keyboard-response","1","2.0.0","3772","pfnqe0os2au","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","Enter","","","","","","",""
"","3686","survey-text","2","2.0.0","7463","pfnqe0os2au","","{""participant_id"":""hamster""}","","","","","","",""
"","7043","html-keyboard-response","3","2.0.0","14510","pfnqe0os2au","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","60133","pfnqe0os2au","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","45511","survey-text","5","2.0.0","106668","pfnqe0os2au","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""yawn"",""Q3"":""blanket"",""Q4"":""snooze"",""Q5"":""wake"",""Q6"":""tired"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","145245","pfnqe0os2au","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","44763","survey-text","7","2.0.0","191029","pfnqe0os2au","","{""Q0"":""sugar"",""Q1"":""sour"",""Q2"":""bitter"",""Q3"":""sweet"",""Q4"":""cake"",""Q5"":""pie"",""Q6"":""tooth"",""Q7"":""nice"",""Q8"":""tart"",""Q9"":""heart"",""Q10"":""candy"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","229274","pfnqe0os2au","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","30137","survey-text","9","2.0.0","260435","pfnqe0os2au","","{""Q0"":""ski"",""Q1"":""goat"",""Q2"":""summit"",""Q3"":""mountain"",""Q4"":""range"",""Q5"":""bike"",""Q6"":""glacier"",""Q7"":""valley"",""Q8"":""top"",""Q9"":""hill"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","313440","pfnqe0os2au","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","24925","survey-text","11","2.0.0","339379","pfnqe0os2au","","{""Q0"":""ground"",""Q1"":""gravel"",""Q2"":""uneven"",""Q3"":""jagged"",""Q4"":""grass"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","367570","pfnqe0os2au","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","21900","survey-text","13","2.0.0","390486","pfnqe0os2au","","{""Q0"":""needle"",""Q1"":""injection"",""Q2"":""syringue"",""Q3"":""knitting"",""Q4"":""cloth"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","418090","pfnqe0os2au","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","18054","survey-text","15","2.0.0","437161","pfnqe0os2au","","{""Q0"":""bench"",""Q1"":""sitting"",""Q2"":""rocking"",""Q3"":""sofa"",""Q4"":""wood"",""Q5"":""rest"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","7750","html-keyboard-response","16","2.0.0","444913","pfnqe0os2au","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   ","Enter","","","","","","",""
"","4591","survey-likert","17","2.0.0","449507","pfnqe0os2au","","{""Q0"":3}","recognition","Sleep","critical","5","[0]","",""
"","3280","survey-likert","18","2.0.0","452789","pfnqe0os2au","","{""Q0"":0}","recognition","Coma","weakly related","5","[0]","",""
"","3947","survey-likert","19","2.0.0","456739","pfnqe0os2au","","{""Q0"":3}","recognition","Tired","studied","5","[0]","",""
"","2972","survey-likert","20","2.0.0","459714","pfnqe0os2au","","{""Q0"":0}","recognition","Chess","unrelated","5","[0]","",""
"","2397","survey-likert","21","2.0.0","462114","pfnqe0os2au","","{""Q0"":3}","recognition","Bed","studied","5","[0]","",""
"","2465","survey-likert","22","2.0.0","464581","pfnqe0os2au","","{""Q0"":0}","recognition","Fish","unrelated","5","[0]","",""
"","7111","survey-likert","23","2.0.0","471694","pfnqe0os2au","","{""Q0"":2}","recognition","Calm","weakly related","5","[0]","",""
"","2333","survey-likert","24","2.0.0","474030","pfnqe0os2au","","{""Q0"":3}","recognition","Sugar","studied","6","[0]","",""
"","2640","survey-likert","25","2.0.0","476674","pfnqe0os2au","","{""Q0"":3}","recognition","Sweet","critical","6","[0]","",""
"","2311","survey-likert","26","2.0.0","478987","pfnqe0os2au","","{""Q0"":0}","recognition","Door","unrelated","6","[0]","",""
"","2268","survey-likert","27","2.0.0","481259","pfnqe0os2au","","{""Q0"":0}","recognition","Cherry","weakly related","6","[0]","",""
"","2539","survey-likert","28","2.0.0","483801","pfnqe0os2au","","{""Q0"":0}","recognition","Ghost","unrelated","6","[0]","",""
"","4029","survey-likert","29","2.0.0","487832","pfnqe0os2au","","{""Q0"":0}","recognition","Salty","weakly related","6","[0]","",""
"","3040","survey-likert","30","2.0.0","490875","pfnqe0os2au","","{""Q0"":3}","recognition","Sour","studied","6","[0]","",""
"","2449","survey-likert","31","2.0.0","493327","pfnqe0os2au","","{""Q0"":3}","recognition","Mountain","critical","2","[0]","",""
"","2841","survey-likert","32","2.0.0","496170","pfnqe0os2au","","{""Q0"":3}","recognition","Hike","weakly related","2","[0]","",""
"","2851","survey-likert","33","2.0.0","499023","pfnqe0os2au","","{""Q0"":0}","recognition","Draw","unrelated","2","[0]","",""
"","3000","survey-likert","34","2.0.0","502025","pfnqe0os2au","","{""Q0"":1}","recognition","Snow","weakly related","2","[0]","",""
"","3316","survey-likert","35","2.0.0","505343","pfnqe0os2au","","{""Q0"":0}","recognition","Car","unrelated","2","[0]","",""
"","3549","survey-likert","36","2.0.0","508894","pfnqe0os2au","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","2535","survey-likert","37","2.0.0","511432","pfnqe0os2au","","{""Q0"":3}","recognition","Hill","studied","2","[0]","",""
"","3939","survey-likert","38","2.0.0","515374","pfnqe0os2au","","{""Q0"":0}","recognition","Click: Definitely New","attention_check","none","[0]","",""
"","5189","survey-likert","39","2.0.0","520565","pfnqe0os2au","","{""Q0"":0}","recognition","Key","unrelated","4","[0]","",""
"","2499","survey-likert","40","2.0.0","523065","pfnqe0os2au","","{""Q0"":3}","recognition","Spike","weakly related","4","[0]","",""
"","3023","survey-likert","41","2.0.0","526091","pfnqe0os2au","","{""Q0"":0}","recognition","Chalk","weakly related","4","[0]","",""
"","2286","survey-likert","42","2.0.0","528379","pfnqe0os2au","","{""Q0"":0}","recognition","Touch","studied","4","[0]","",""
"","2062","survey-likert","43","2.0.0","530444","pfnqe0os2au","","{""Q0"":0}","recognition","Project","unrelated","4","[0]","",""
"","4634","survey-likert","44","2.0.0","535081","pfnqe0os2au","","{""Q0"":2}","recognition","Smooth","studied","4","[0]","",""
"","2299","survey-likert","45","2.0.0","537382","pfnqe0os2au","","{""Q0"":3}","recognition","Rough","critical","4","[0]","",""
"","2352","survey-likert","46","2.0.0","539736","pfnqe0os2au","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","2833","survey-likert","47","2.0.0","542571","pfnqe0os2au","","{""Q0"":0}","recognition","Fast","unrelated","3","[0]","",""
"","2736","survey-likert","48","2.0.0","545309","pfnqe0os2au","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","6351","survey-likert","49","2.0.0","551662","pfnqe0os2au","","{""Q0"":1}","recognition","Pin","studied","3","[0]","",""
"","3294","survey-likert","50","2.0.0","554959","pfnqe0os2au","","{""Q0"":0}","recognition","Splinter","weakly related","3","[0]","",""
