"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1146","fullscreen","0","2.1.0","2165","pfqx7d4vv71","","","","","","","","",""
"","740","html-keyboard-response","1","2.0.0","2907","pfqx7d4vv71","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","Enter","","","","","","",""
"","1904","survey-text","2","2.0.0","4813","pfqx7d4vv71","","{""participant_id"":""goat""}","","","","","","",""
"","1919","html-keyboard-response","3","2.0.0","6734","pfqx7d4vv71","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","Enter","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","32686","pfqx7d4vv71","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","22675","survey-text","5","2.0.0","56366","pfqx7d4vv71","","{""Q0"":""thimble"",""Q1"":""eye"",""Q2"":""hurt"",""Q3"":""syringe"",""Q4"":""knitting"",""Q5"":""point"",""Q6"":""sew"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","81913","pfqx7d4vv71","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","22094","survey-text","7","2.0.0","105015","pfqx7d4vv71","","{""Q0"":""bed"",""Q1"":""slumber"",""Q2"":""wake"",""Q3"":""awake"",""Q4"":""peace"",""Q5"":""blanket"",""Q6"":""snore"",""Q7"":""doze"",""Q8"":""drowsy"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","130506","pfqx7d4vv71","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","26521","survey-text","9","2.0.0","158033","pfqx7d4vv71","","{""Q0"":""bench"",""Q1"":""swivel"",""Q2"":""recliner"",""Q3"":""table"",""Q4"":""legs"",""Q5"":""sitting"",""Q6"":""sit"",""Q7"":""seat"",""Q8"":""stool"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","184337","pfqx7d4vv71","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","22842","survey-text","11","2.0.0","208184","pfqx7d4vv71","","{""Q0"":""rough"",""Q1"":""smooth"",""Q2"":""road"",""Q3"":""ready"",""Q4"":""gravel"",""Q5"":""course"",""Q6"":""ground"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","233570","pfqx7d4vv71","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","24491","survey-text","13","2.0.0","259068","pfqx7d4vv71","","{""Q0"":""sweet"",""Q1"":""sour"",""Q2"":""soda"",""Q3"":""pie"",""Q4"":""tart"",""Q5"":""good"",""Q6"":""taste"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","284691","pfqx7d4vv71","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","21041","survey-text","15","2.0.0","306737","pfqx7d4vv71","","{""Q0"":""hill"",""Q1"":""mole hill"",""Q2"":""goat"",""Q3"":""steep"",""Q4"":""ski"",""Q5"":""climber"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","4643","html-keyboard-response","16","2.0.0","311382","pfqx7d4vv71","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   ","Enter","","","","","","",""
"","4034","survey-likert","17","2.0.0","315419","pfqx7d4vv71","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","3664","survey-likert","18","2.0.0","319085","pfqx7d4vv71","","{""Q0"":1}","recognition","Splinter","weakly related","3","[0]","",""
"","6415","survey-likert","19","2.0.0","325502","pfqx7d4vv71","","{""Q0"":2}","recognition","Stitch","weakly related","3","[0]","",""
"","2031","survey-likert","20","2.0.0","327536","pfqx7d4vv71","","{""Q0"":3}","recognition","Pin","studied","3","[0]","",""
"","3448","survey-likert","21","2.0.0","330986","pfqx7d4vv71","","{""Q0"":0}","recognition","Needle","critical","3","[0]","",""
"","3597","survey-likert","22","2.0.0","334585","pfqx7d4vv71","","{""Q0"":1}","recognition","Fast","unrelated","3","[0]","",""
"","2600","survey-likert","23","2.0.0","337186","pfqx7d4vv71","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","2931","survey-likert","24","2.0.0","340119","pfqx7d4vv71","","{""Q0"":0}","recognition","Click: Definitely New","attention_check","none","[0]","",""
"","2614","survey-likert","25","2.0.0","342736","pfqx7d4vv71","","{""Q0"":3}","recognition","Bed","studied","5","[0]","",""
