"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","2771","fullscreen","0","2.1.0","3785","pgjuv9ttdj8","","","","","","","","",""
"","11004","html-keyboard-response","1","2.0.0","14790","pgjuv9ttdj8","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","c","","","","","","",""
"","8080","survey-text","2","2.0.0","22875","pgjuv9ttdj8","","{""participant_id"":""chipmunk""}","","","","","","",""
"","14166","html-keyboard-response","3","2.0.0","37042","pgjuv9ttdj8","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","v","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","62852","pgjuv9ttdj8","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","53653","survey-text","5","2.0.0","117527","pgjuv9ttdj8","","{""Q0"":""molehill"",""Q1"":""goat"",""Q2"":""climb"",""Q3"":""range"",""Q4"":""steep"",""Q5"":""ski"",""Q6"":""valley"",""Q7"":""hill"",""Q8"":""mountain"",""Q9"":""summit"",""Q10"":""peak"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","143199","pgjuv9ttdj8","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","40548","survey-text","7","2.0.0","184758","pgjuv9ttdj8","","{""Q0"":""honey"",""Q1"":""soda"",""Q2"":""chocolate"",""Q3"":""heart"",""Q4"":""cake"",""Q5"":""tart"",""Q6"":""pie"",""Q7"":""sour"",""Q8"":""candy"",""Q9"":""tooth"",""Q10"":""bitter"",""Q11"":""good"",""Q12"":""honey"",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","210347","pgjuv9ttdj8","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","31759","survey-text","9","2.0.0","243113","pgjuv9ttdj8","","{""Q0"":""table"",""Q1"":""sit"",""Q2"":""seat"",""Q3"":""legs"",""Q4"":""recliner"",""Q5"":""couch"",""Q6"":""wood"",""Q7"":""rocking"",""Q8"":""bench"",""Q9"":""swivel"",""Q10"":""cushion"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","269328","pgjuv9ttdj8","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","37064","survey-text","11","2.0.0","307409","pgjuv9ttdj8","","{""Q0"":""gravel"",""Q1"":""boards"",""Q2"":""ground"",""Q3"":""rider"",""Q4"":""smooth"",""Q5"":""uneven"",""Q6"":""coarse"",""Q7"":""rugged"",""Q8"":""sand"",""Q9"":""sandpaper"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","333063","pgjuv9ttdj8","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","38899","survey-text","13","2.0.0","372970","pgjuv9ttdj8","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""awake"",""Q3"":""snooze"",""Q4"":""tired"",""Q5"":""slumber"",""Q6"":""snore"",""Q7"":""drowsy"",""Q8"":""doze"",""Q9"":""dream"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","398551","pgjuv9ttdj8","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","52729","survey-text","15","2.0.0","452301","pgjuv9ttdj8","","{""Q0"":""cloth"",""Q1"":""knitting"",""Q2"":""thorn"",""Q3"":""injection"",""Q4"":""syringe"",""Q5"":""pin"",""Q6"":""prick"",""Q7"":""thimble"",""Q8"":""thread"",""Q9"":""haystack"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
