"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1200","fullscreen","0","2.1.0","2213","pgrvdsbdr6h","","","","","","","","",""
"","695","html-keyboard-response","1","2.0.0","2910","pgrvdsbdr6h","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","3383","survey-text","2","2.0.0","6295","pgrvdsbdr6h","","{""participant_id"":""badger""}","","","","","","",""
"","3150","html-keyboard-response","3","2.0.0","9446","pgrvdsbdr6h","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","35123","pgrvdsbdr6h","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","30793","survey-text","5","2.0.0","66922","pgrvdsbdr6h","","{""Q0"":""sour"",""Q1"":""heart"",""Q2"":""cake"",""Q3"":""pie"",""Q4"":""tart"",""Q5"":""good"",""Q6"":""taste"",""Q7"":""sweet"",""Q8"":""bitter"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","92630","pgrvdsbdr6h","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","19718","survey-text","7","2.0.0","113355","pgrvdsbdr6h","","{""Q0"":""peace"",""Q1"":""drowsy"",""Q2"":""wake"",""Q3"":""blanket"",""Q4"":""doze"",""Q5"":""yawn"",""Q6"":""tired"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","138785","pgrvdsbdr6h","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","28269","survey-text","9","2.0.0","168058","pgrvdsbdr6h","","{""Q0"":""bench"",""Q1"":""swiddle"",""Q2"":""rock"",""Q3"":""chair"",""Q4"":""legs"",""Q5"":""sitting"",""Q6"":""sofa"",""Q7"":""couch"",""Q8"":""table"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","194304","pgrvdsbdr6h","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","25530","survey-text","11","2.0.0","220840","pgrvdsbdr6h","","{""Q0"":""ground"",""Q1"":""gravel"",""Q2"":""smooth"",""Q3"":""bumpy"",""Q4"":""coarse"",""Q5"":""rugged"",""Q6"":""uneven"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","246448","pgrvdsbdr6h","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
