"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1441","fullscreen","0","2.1.0","2450","pja4rprn1xm","","","","","","","","",""
"","2159","html-keyboard-response","1","2.0.0","4612","pja4rprn1xm","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","5272","survey-text","2","2.0.0","9890","pja4rprn1xm","","{""participant_id"":""dolphin""}","","","","","","",""
"","3548","html-keyboard-response","3","2.0.0","13439","pja4rprn1xm","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","39441","pja4rprn1xm","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","59286","survey-text","5","2.0.0","99734","pja4rprn1xm","","{""Q0"":""knitting"",""Q1"":""cloth"",""Q2"":""needle"",""Q3"":""thread"",""Q4"":""pin"",""Q5"":""thimble"",""Q6"":""syringe "",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","125621","pja4rprn1xm","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","58440","survey-text","7","2.0.0","185065","pja4rprn1xm","","{""Q0"":""sitting"",""Q1"":""rocking"",""Q2"":""bench"",""Q3"":""legs"",""Q4"":""chair"",""Q5"":""table"",""Q6"":""stool"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","210985","pja4rprn1xm","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","70173","survey-text","9","2.0.0","282165","pja4rprn1xm","","{""Q0"":""drowsy"",""Q1"":""bed"",""Q2"":""rest"",""Q3"":""snore"",""Q4"":""blanket"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","308583","pja4rprn1xm","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","36857","survey-text","11","2.0.0","346448","pja4rprn1xm","","{""Q0"":""sour"",""Q1"":""tart"",""Q2"":""candy"",""Q3"":""honey"",""Q4"":""cake"",""Q5"":""pie"",""Q6"":""soda"",""Q7"":""bitter"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","373222","pja4rprn1xm","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","45603","survey-text","13","2.0.0","419831","pja4rprn1xm","","{""Q0"":""gravel"",""Q1"":""sand"",""Q2"":""sandpaper "",""Q3"":""rough"",""Q4"":""rugged"",""Q5"":""corse"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","445726","pja4rprn1xm","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","48614","survey-text","15","2.0.0","495347","pja4rprn1xm","","{""Q0"":""ski"",""Q1"":""climber"",""Q2"":""hill"",""Q3"":""steep"",""Q4"":""peak"",""Q5"":""top"",""Q6"":""summit"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","10789","html-keyboard-response","16","2.0.0","506137","pja4rprn1xm","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","4489","survey-likert","17","2.0.0","510630","pja4rprn1xm","","{""Q0"":0}","recognition","Splinter","weakly related","3","[0]","",""
"","2612","survey-likert","18","2.0.0","513245","pja4rprn1xm","","{""Q0"":3}","recognition","Pin","studied","3","[0]","",""
"","4033","survey-likert","19","2.0.0","517279","pja4rprn1xm","","{""Q0"":0}","recognition","Fast","unrelated","3","[0]","",""
"","2149","survey-likert","20","2.0.0","519430","pja4rprn1xm","","{""Q0"":3}","recognition","Needle","critical","3","[0]","",""
"","2829","survey-likert","21","2.0.0","522262","pja4rprn1xm","","{""Q0"":0}","recognition","Stop","unrelated","3","[0]","",""
"","2000","survey-likert","22","2.0.0","524264","pja4rprn1xm","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
