"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","4678","fullscreen","0","2.1.0","5687","pkwfqq6bptc","","","","","","","","",""
"","1908","html-keyboard-response","1","2.0.0","7597","pkwfqq6bptc","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","Enter","","","","","","",""
"","4782","survey-text","2","2.0.0","12383","pkwfqq6bptc","","{""participant_id"":""wolf""}","","","","","","",""
"","12588","html-keyboard-response","3","2.0.0","24971","pkwfqq6bptc","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","Enter","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","50891","pkwfqq6bptc","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","12804","survey-text","5","2.0.0","64705","pkwfqq6bptc","","{""Q0"":""hill"",""Q1"":""climber"",""Q2"":""glacier"",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","90254","pkwfqq6bptc","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","39860","survey-text","7","2.0.0","131126","pkwfqq6bptc","","{""Q0"":""awake"",""Q1"":""wake"",""Q2"":""drowsy"",""Q3"":""peace"",""Q4"":""slumber"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","157867","pkwfqq6bptc","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","45225","survey-text","9","2.0.0","204096","pkwfqq6bptc","","{""Q0"":""gravel"",""Q1"":""coarse"",""Q2"":""sandpaper"",""Q3"":""road"",""Q4"":""bumpy"",""Q5"":""smooth"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","230137","pkwfqq6bptc","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","57141","survey-text","11","2.0.0","288286","pkwfqq6bptc","","{""Q0"":""tart"",""Q1"":""pie"",""Q2"":""cake"",""Q3"":""bitter"",""Q4"":""good"",""Q5"":""sugar"",""Q6"":""honey"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","314211","pkwfqq6bptc","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","52156","survey-text","13","2.0.0","367376","pkwfqq6bptc","","{""Q0"":""legs"",""Q1"":""table"",""Q2"":""bench"",""Q3"":""wood"",""Q4"":""sitting"",""Q5"":""rocking"",""Q6"":""cushion"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","393241","pkwfqq6bptc","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","49239","survey-text","15","2.0.0","443484","pkwfqq6bptc","","{""Q0"":""thorn"",""Q1"":""syringe"",""Q2"":""knitting"",""Q3"":""hurt"",""Q4"":""eye"",""Q5"":""haystack"",""Q6"":""thread"",""Q7"":""pointed"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","5092","html-keyboard-response","16","2.0.0","448577","pkwfqq6bptc","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","6959","survey-likert","17","2.0.0","455540","pkwfqq6bptc","","{""Q0"":0}","recognition","Draw","unrelated","2","[0]","",""
"","4455","survey-likert","18","2.0.0","459996","pkwfqq6bptc","","{""Q0"":3}","recognition","Mountain","critical","2","[0]","",""
"","4472","survey-likert","19","2.0.0","464469","pkwfqq6bptc","","{""Q0"":2}","recognition","Snow","weakly related","2","[0]","",""
"","4031","survey-likert","20","2.0.0","468501","pkwfqq6bptc","","{""Q0"":0}","recognition","Car","unrelated","2","[0]","",""
"","2786","survey-likert","21","2.0.0","471288","pkwfqq6bptc","","{""Q0"":3}","recognition","Hill","studied","2","[0]","",""
"","2065","survey-likert","22","2.0.0","473353","pkwfqq6bptc","","{""Q0"":2}","recognition","Hike","weakly related","2","[0]","",""
"","1773","survey-likert","23","2.0.0","475126","pkwfqq6bptc","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","3501","survey-likert","24","2.0.0","478628","pkwfqq6bptc","","{""Q0"":2}","recognition","Tired","studied","5","[0]","",""
"","3733","survey-likert","25","2.0.0","482362","pkwfqq6bptc","","{""Q0"":2}","recognition","Sleep","critical","5","[0]","",""
"","3420","survey-likert","26","2.0.0","485783","pkwfqq6bptc","","{""Q0"":0}","recognition","Fish","unrelated","5","[0]","",""
"","2465","survey-likert","27","2.0.0","488248","pkwfqq6bptc","","{""Q0"":1}","recognition","Calm","weakly related","5","[0]","",""
"","2609","survey-likert","28","2.0.0","490858","pkwfqq6bptc","","{""Q0"":0}","recognition","Coma","weakly related","5","[0]","",""
"","2545","survey-likert","29","2.0.0","493404","pkwfqq6bptc","","{""Q0"":0}","recognition","Chess","unrelated","5","[0]","",""
"","3204","survey-likert","30","2.0.0","496609","pkwfqq6bptc","","{""Q0"":1}","recognition","Bed","studied","5","[0]","",""
"","2392","survey-likert","31","2.0.0","499002","pkwfqq6bptc","","{""Q0"":0}","recognition","Chalk","weakly related","4","[0]","",""
"","2457","survey-likert","32","2.0.0","501459","pkwfqq6bptc","","{""Q0"":0}","recognition","Spike","weakly related","4","[0]","",""
"","1999","survey-likert","33","2.0.0","503459","pkwfqq6bptc","","{""Q0"":3}","recognition","Smooth","studied","4","[0]","",""
"","1976","survey-likert","34","2.0.0","505435","pkwfqq6bptc","","{""Q0"":1}","recognition","Key","unrelated","4","[0]","",""
"","2857","survey-likert","35","2.0.0","508293","pkwfqq6bptc","","{""Q0"":0}","recognition","Project","unrelated","4","[0]","",""
"","2111","survey-likert","36","2.0.0","510405","pkwfqq6bptc","","{""Q0"":3}","recognition","Rough","critical","4","[0]","",""
"","3228","survey-likert","37","2.0.0","513633","pkwfqq6bptc","","{""Q0"":1}","recognition","Touch","studied","4","[0]","",""
"","3886","survey-likert","38","2.0.0","517519","pkwfqq6bptc","","{""Q0"":0}","recognition","Click: Definitely New","attention_check","none","[0]","",""
"","6015","survey-likert","39","2.0.0","523535","pkwfqq6bptc","","{""Q0"":2}","recognition","Sour","studied","6","[0]","",""
"","2216","survey-likert","40","2.0.0","525751","pkwfqq6bptc","","{""Q0"":3}","recognition","Sugar","studied","6","[0]","",""
"","3452","survey-likert","41","2.0.0","529204","pkwfqq6bptc","","{""Q0"":0}","recognition","Door","unrelated","6","[0]","",""
"","2095","survey-likert","42","2.0.0","531300","pkwfqq6bptc","","{""Q0"":0}","recognition","Cherry","weakly related","6","[0]","",""
"","2015","survey-likert","43","2.0.0","533315","pkwfqq6bptc","","{""Q0"":2}","recognition","Sweet","critical","6","[0]","",""
"","2657","survey-likert","44","2.0.0","535973","pkwfqq6bptc","","{""Q0"":0}","recognition","Ghost","unrelated","6","[0]","",""
"","2570","survey-likert","45","2.0.0","538544","pkwfqq6bptc","","{""Q0"":1}","recognition","Salty","weakly related","6","[0]","",""
"","4698","survey-likert","46","2.0.0","543242","pkwfqq6bptc","","{""Q0"":2}","recognition","Table","studied","1","[0]","",""
"","2994","survey-likert","47","2.0.0","546237","pkwfqq6bptc","","{""Q0"":0}","recognition","Floor","weakly related","1","[0]","",""
"","2642","survey-likert","48","2.0.0","548879","pkwfqq6bptc","","{""Q0"":2}","recognition","Couch","studied","1","[0]","",""
"","1765","survey-likert","49","2.0.0","550645","pkwfqq6bptc","","{""Q0"":3}","recognition","Cushion","weakly related","1","[0]","",""
"","3493","survey-likert","50","2.0.0","554139","pkwfqq6bptc","","{""Q0"":2}","recognition","Chair","critical","1","[0]","",""
"","2296","survey-likert","51","2.0.0","556436","pkwfqq6bptc","","{""Q0"":0}","recognition","Ball","unrelated","1","[0]","",""
"","1750","survey-likert","52","2.0.0","558187","pkwfqq6bptc","","{""Q0"":0}","recognition","Shoe","unrelated","1","[0]","",""
"","1534","survey-likert","53","2.0.0","559721","pkwfqq6bptc","","{""Q0"":0}","recognition","Stop","unrelated","3","[0]","",""
"","2714","survey-likert","54","2.0.0","562435","pkwfqq6bptc","","{""Q0"":1}","recognition","Stitch","weakly related","3","[0]","",""
"","2906","survey-likert","55","2.0.0","565342","pkwfqq6bptc","","{""Q0"":0}","recognition","Needle","critical","3","[0]","",""
"","2280","survey-likert","56","2.0.0","567622","pkwfqq6bptc","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","1822","survey-likert","57","2.0.0","569445","pkwfqq6bptc","","{""Q0"":2}","recognition","Pin","studied","3","[0]","",""
"","4537","survey-likert","58","2.0.0","573983","pkwfqq6bptc","","{""Q0"":1}","recognition","Splinter","weakly related","3","[0]","",""
"","1678","survey-likert","59","2.0.0","575661","pkwfqq6bptc","","{""Q0"":0}","recognition","Fast","unrelated","3","[0]","",""
"","18187","survey-likert","60","2.0.0","593850","pkwfqq6bptc","","{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":0,""Q4"":1,""Q5"":1}","","","","","[0,1,2,3,4,5]","",""
"","11640","html-keyboard-response","61","2.0.0","605491","pkwfqq6bptc","
    <h2>Speed Memory Game</h2>
    <p>Press <strong>S</strong> if the word was studied.</p>
    <p>Press <strong>N</strong> if it was NOT studied.</p>
    <p>Respond as quickly as possible. (Please note it may be case sensitive)</p>
    <p>Press any key to begin.</p>
  "," ","","","","","","",""
"","5354","html-keyboard-response","62","2.0.0","610846","pkwfqq6bptc","<h1>Sleep</h1>","N","speed_game","Sleep","","","","n","true"
"","null","html-keyboard-response","63","2.0.0","611650","pkwfqq6bptc","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","3834","html-keyboard-response","64","2.0.0","615485","pkwfqq6bptc","<h1>Sweet</h1>","N","speed_game","Sweet","","","","n","true"
"","null","html-keyboard-response","65","2.0.0","616288","pkwfqq6bptc","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","1379","html-keyboard-response","66","2.0.0","617670","pkwfqq6bptc","<h1>Needle</h1>","N","speed_game","Needle","","","","n","true"
