"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct","correct_answer"
"true","53518","fullscreen","0","2.1.0","54544","pkznlthk927","","","","","","","","",""
"","2337","html-keyboard-response","1","2.0.0","56884","pkznlthk927","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","3275","survey-text","2","2.0.0","60164","pkznlthk927","","{""participant_id"":""antelope""}","","","","","","",""
"","3658","html-keyboard-response","3","2.0.0","63823","pkznlthk927","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","90496","pkznlthk927","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","30189","survey-text","5","2.0.0","121703","pkznlthk927","","{""Q0"":""smooth"",""Q1"":""gravel"",""Q2"":""bucket"",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","147456","pkznlthk927","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","30434","survey-text","7","2.0.0","178904","pkznlthk927","","{""Q0"":""sit"",""Q1"":""bench"",""Q2"":""rocking"",""Q3"":""stool"",""Q4"":""table"",""Q5"":""legs"",""Q6"":""chair"",""Q7"":""reclining"",""Q8"":""swizzle"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","205026","pkznlthk927","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","20160","survey-text","9","2.0.0","226206","pkznlthk927","","{""Q0"":""chocolate"",""Q1"":""heart"",""Q2"":""cake "",""Q3"":""pie"",""Q4"":""sour"",""Q5"":""candy"",""Q6"":""tart"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","251746","pkznlthk927","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","46030","survey-text","11","2.0.0","298797","pkznlthk927","","{""Q0"":""injection"",""Q1"":""knitting"",""Q2"":""suringe"",""Q3"":""thimble"",""Q4"":""sharp"",""Q5"":""claw"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","324696","pkznlthk927","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","16137","survey-text","13","2.0.0","341848","pkznlthk927","","{""Q0"":""sleep"",""Q1"":""drowsy"",""Q2"":""slumber"",""Q3"":""peace"",""Q4"":""bed"",""Q5"":""sleep"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","367676","pkznlthk927","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","22319","survey-text","15","2.0.0","391018","pkznlthk927","","{""Q0"":""ranger"",""Q1"":""bike"",""Q2"":""path"",""Q3"":""ski"",""Q4"":""hill"",""Q5"":""climb"",""Q6"":""mountiain"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","5852","html-keyboard-response","16","2.0.0","396872","pkznlthk927","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","4391","survey-likert","17","2.0.0","401267","pkznlthk927","","{""Q0"":3}","recognition","Smooth","studied","4","[0]","",""
"","2804","survey-likert","18","2.0.0","404073","pkznlthk927","","{""Q0"":1}","recognition","Spike","weakly related","4","[0]","",""
"","2331","survey-likert","19","2.0.0","406407","pkznlthk927","","{""Q0"":1}","recognition","Touch","studied","4","[0]","",""
"","3588","survey-likert","20","2.0.0","409998","pkznlthk927","","{""Q0"":0}","recognition","Chalk","weakly related","4","[0]","",""
"","2944","survey-likert","21","2.0.0","412943","pkznlthk927","","{""Q0"":0}","recognition","Project","unrelated","4","[0]","",""
"","2595","survey-likert","22","2.0.0","415540","pkznlthk927","","{""Q0"":0}","recognition","Key","unrelated","4","[0]","",""
"","1827","survey-likert","23","2.0.0","417370","pkznlthk927","","{""Q0"":3}","recognition","Rough","critical","4","[0]","",""
"","1633","survey-likert","24","2.0.0","419006","pkznlthk927","","{""Q0"":2}","recognition","Shoe","unrelated","1","[0]","",""
"","2312","survey-likert","25","2.0.0","421320","pkznlthk927","","{""Q0"":3}","recognition","Table","studied","1","[0]","",""
"","3741","survey-likert","26","2.0.0","425063","pkznlthk927","","{""Q0"":3}","recognition","Chair","critical","1","[0]","",""
