"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1084","fullscreen","0","2.1.0","2096","plljtg4lwjm","","","","","","","","",""
"","1056","html-keyboard-response","1","2.0.0","3154","plljtg4lwjm","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","2361","survey-text","2","2.0.0","5520","plljtg4lwjm","","{""participant_id"":""fox""}","","","","","","",""
"","8282","html-keyboard-response","3","2.0.0","13805","plljtg4lwjm","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","39698","plljtg4lwjm","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","33302","survey-text","5","2.0.0","74008","plljtg4lwjm","","{""Q0"":""sitting"",""Q1"":""table"",""Q2"":""stool"",""Q3"":""bench"",""Q4"":""rocking"",""Q5"":""desk"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","101936","plljtg4lwjm","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","39329","survey-text","7","2.0.0","142271","plljtg4lwjm","","{""Q0"":""thimble"",""Q1"":""haystack"",""Q2"":""prick"",""Q3"":""claw"",""Q4"":""knitting"",""Q5"":""syringe"",""Q6"":""injection"",""Q7"":""needle"",""Q8"":""eye"",""Q9"":""thread"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","169470","plljtg4lwjm","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","33175","survey-text","9","2.0.0","203654","plljtg4lwjm","","{""Q0"":""steep"",""Q1"":""range"",""Q2"":""glacier"",""Q3"":""goat"",""Q4"":""ski"",""Q5"":""summit"",""Q6"":""peak"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","230667","plljtg4lwjm","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","24803","survey-text","11","2.0.0","256477","plljtg4lwjm","","{""Q0"":""candy"",""Q1"":""sweet"",""Q2"":""tart"",""Q3"":""cake"",""Q4"":""pie"",""Q5"":""tooth"",""Q6"":""sour"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","282880","plljtg4lwjm","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","35914","survey-text","13","2.0.0","319801","plljtg4lwjm","","{""Q0"":""awake"",""Q1"":""doze"",""Q2"":""snooze"",""Q3"":""wake"",""Q4"":""drowsy"",""Q5"":""yawn"",""Q6"":""blanket"",""Q7"":""sleep"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","347666","plljtg4lwjm","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","25334","survey-text","15","2.0.0","374007","plljtg4lwjm","","{""Q0"":""boards"",""Q1"":""ground"",""Q2"":""gravel"",""Q3"":""sand"",""Q4"":""coarse"",""Q5"":""uneven"",""Q6"":""bumpy"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","4615","html-keyboard-response","16","2.0.0","378624","plljtg4lwjm","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","3397","survey-likert","17","2.0.0","382025","plljtg4lwjm","","{""Q0"":3}","recognition","Chair","critical","1","[0]","",""
"","3791","survey-likert","18","2.0.0","385819","plljtg4lwjm","","{""Q0"":0}","recognition","Ball","unrelated","1","[0]","",""
"","4050","survey-likert","19","2.0.0","389872","plljtg4lwjm","","{""Q0"":3}","recognition","Couch","studied","1","[0]","",""
"","2395","survey-likert","20","2.0.0","392270","plljtg4lwjm","","{""Q0"":1}","recognition","Cushion","weakly related","1","[0]","",""
"","5474","survey-likert","21","2.0.0","397747","plljtg4lwjm","","{""Q0"":1}","recognition","Table","studied","1","[0]","",""
"","2146","survey-likert","22","2.0.0","399896","plljtg4lwjm","","{""Q0"":0}","recognition","Shoe","unrelated","1","[0]","",""
"","2828","survey-likert","23","2.0.0","402726","plljtg4lwjm","","{""Q0"":2}","recognition","Floor","weakly related","1","[0]","",""
"","2613","survey-likert","24","2.0.0","405342","plljtg4lwjm","","{""Q0"":2}","recognition","Stitch","weakly related","3","[0]","",""
"","3456","survey-likert","25","2.0.0","408801","plljtg4lwjm","","{""Q0"":1}","recognition","Splinter","weakly related","3","[0]","",""
"","1715","survey-likert","26","2.0.0","410519","plljtg4lwjm","","{""Q0"":3}","recognition","Needle","critical","3","[0]","",""
"","2641","survey-likert","27","2.0.0","413162","plljtg4lwjm","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","1659","survey-likert","28","2.0.0","414824","plljtg4lwjm","","{""Q0"":1}","recognition","Fast","unrelated","3","[0]","",""
"","1480","survey-likert","29","2.0.0","416307","plljtg4lwjm","","{""Q0"":2}","recognition","Pin","studied","3","[0]","",""
"","1752","survey-likert","30","2.0.0","418062","plljtg4lwjm","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","1430","survey-likert","31","2.0.0","419495","plljtg4lwjm","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","2626","survey-likert","32","2.0.0","422124","plljtg4lwjm","","{""Q0"":1}","recognition","Draw","unrelated","2","[0]","",""
"","2122","survey-likert","33","2.0.0","424249","plljtg4lwjm","","{""Q0"":3}","recognition","Hill","studied","2","[0]","",""
"","2760","survey-likert","34","2.0.0","427012","plljtg4lwjm","","{""Q0"":1}","recognition","Snow","weakly related","2","[0]","",""
"","1803","survey-likert","35","2.0.0","428818","plljtg4lwjm","","{""Q0"":1}","recognition","Car","unrelated","2","[0]","",""
