"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","12296","fullscreen","0","2.1.0","13310","plu5d0spxvc","","","","","","","","",""
"","30593","html-keyboard-response","1","2.0.0","43904","plu5d0spxvc","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","2539","survey-text","2","2.0.0","46449","plu5d0spxvc","","{""participant_id"":""9252""}","","","","","","",""
"","4347","html-keyboard-response","3","2.0.0","50798","plu5d0spxvc","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","77080","plu5d0spxvc","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","34497","survey-text","5","2.0.0","112586","plu5d0spxvc","","{""Q0"":""smooth"",""Q1"":""bumpy"",""Q2"":""road"",""Q3"":""rugged"",""Q4"":""sandpaper"",""Q5"":""sand "",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":""uneven"",""Q14"":""gravel""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","138398","plu5d0spxvc","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","45278","survey-text","7","2.0.0","184681","plu5d0spxvc","","{""Q0"":""bed"",""Q1"":""asleep"",""Q2"":""awake"",""Q3"":""nap"",""Q4"":""drowsy"",""Q5"":""peace"",""Q6"":""yawn"",""Q7"":""dream"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","210604","plu5d0spxvc","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","39552","survey-text","9","2.0.0","251159","plu5d0spxvc","","{""Q0"":""thimble"",""Q1"":""sew"",""Q2"":""haystack"",""Q3"":""knitting"",""Q4"":""thorn"",""Q5"":""hurt"",""Q6"":""injection"",""Q7"":""thread"",""Q8"":""pin"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
