"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1056","fullscreen","0","2.1.0","2068","pm3h8hqcx9h","","","","","","","","",""
"","26260","html-keyboard-response","1","2.0.0","28332","pm3h8hqcx9h","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","3593","survey-text","2","2.0.0","31929","pm3h8hqcx9h","","{""participant_id"":""hedgehog""}","","","","","","",""
"","9701","html-keyboard-response","3","2.0.0","41631","pm3h8hqcx9h","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","67641","pm3h8hqcx9h","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","62074","survey-text","5","2.0.0","130723","pm3h8hqcx9h","","{""Q0"":""sour"",""Q1"":""candy"",""Q2"":""sugar"",""Q3"":""good"",""Q4"":""tart"",""Q5"":""cake"",""Q6"":""chocolate"",""Q7"":""pie"",""Q8"":""nice"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","156426","pm3h8hqcx9h","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","44547","survey-text","7","2.0.0","201981","pm3h8hqcx9h","","{""Q0"":""sitting"",""Q1"":""rocking"",""Q2"":""bench"",""Q3"":""sit"",""Q4"":""legs"",""Q5"":""table"",""Q6"":""stool"",""Q7"":""recliner"",""Q8"":""couch"",""Q9"":""wood"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","227865","pm3h8hqcx9h","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","49083","survey-text","9","2.0.0","277955","pm3h8hqcx9h","","{""Q0"":""syringe"",""Q1"":""cloth"",""Q2"":""knitting"",""Q3"":""haystack"",""Q4"":""prick"",""Q5"":""thimble"",""Q6"":""sewing"",""Q7"":""thread"",""Q8"":""pin"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","304180","pm3h8hqcx9h","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","48011","survey-text","11","2.0.0","353196","pm3h8hqcx9h","","{""Q0"":""ski"",""Q1"":""steep"",""Q2"":""goat"",""Q3"":""range"",""Q4"":""climber"",""Q5"":""molehill"",""Q6"":""valley"",""Q7"":""hill"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
