"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1506","fullscreen","0","2.1.0","2512","pnfee6x5nmh","","","","","","","","",""
"","1266","html-keyboard-response","1","2.0.0","3779","pnfee6x5nmh","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","d","","","","","","",""
"","2565","survey-text","2","2.0.0","6349","pnfee6x5nmh","","{""participant_id"":""horse""}","","","","","","",""
"","1421","html-keyboard-response","3","2.0.0","7773","pnfee6x5nmh","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","s","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","36060","pnfee6x5nmh","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","48416","survey-text","5","2.0.0","85526","pnfee6x5nmh","","{""Q0"":""nap"",""Q1"":""drowsy"",""Q2"":""awake"",""Q3"":""peace"",""Q4"":""blanket"",""Q5"":""rest"",""Q6"":""bed"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","112895","pnfee6x5nmh","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","64248","survey-text","7","2.0.0","178183","pnfee6x5nmh","","{""Q0"":""bench"",""Q1"":""sitting"",""Q2"":""rocking"",""Q3"":""stool"",""Q4"":""wood"",""Q5"":""recliner"",""Q6"":""couch"",""Q7"":""cusion"",""Q8"":""table"",""Q9"":""legs"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","205438","pnfee6x5nmh","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","3144","survey-text","9","2.0.0","209610","pnfee6x5nmh","","{""Q0"":""ground"",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","235328","pnfee6x5nmh","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","37510","survey-text","11","2.0.0","273848","pnfee6x5nmh","","{""Q0"":""cloth"",""Q1"":""injection"",""Q2"":""knitting"",""Q3"":""sewing"",""Q4"":""thread"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","300243","pnfee6x5nmh","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","43634","survey-text","13","2.0.0","344910","pnfee6x5nmh","","{""Q0"":""range"",""Q1"":""steep"",""Q2"":""ski"",""Q3"":""hill"",""Q4"":""plain"",""Q5"":""valley"",""Q6"":""slope"",""Q7"":""summit"",""Q8"":""climb"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","372423","pnfee6x5nmh","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","48955","survey-text","15","2.0.0","422418","pnfee6x5nmh","","{""Q0"":""soda"",""Q1"":""candy"",""Q2"":""chocolate"",""Q3"":""cake"",""Q4"":""tart"",""Q5"":""pie"",""Q6"":""heart"",""Q7"":""sour"",""Q8"":""taste"",""Q9"":""good"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","7018","html-keyboard-response","16","2.0.0","429438","pnfee6x5nmh","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   ",",","","","","","","",""
