"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1213875","fullscreen","0","2.1.0","1214881","pognl2hldb7","","","","","","","","",""
"","701","html-keyboard-response","1","2.0.0","1215584","pognl2hldb7","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","1591","survey-text","2","2.0.0","1217179","pognl2hldb7","","{""participant_id"":""swan""}","","","","","","",""
"","4372","html-keyboard-response","3","2.0.0","1221553","pognl2hldb7","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","1247302","pognl2hldb7","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","25108","survey-text","5","2.0.0","1273418","pognl2hldb7","","{""Q0"":""sour"",""Q1"":""bitter"",""Q2"":""candy"",""Q3"":""sugar"",""Q4"":""good"",""Q5"":""chocolate"",""Q6"":""cake "",""Q7"":""heart "",""Q8"":""pie"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","1299175","pognl2hldb7","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","12210","survey-text","7","2.0.0","1312391","pognl2hldb7","","{""Q0"":""hill"",""Q1"":""valley"",""Q2"":""summit"",""Q3"":""ski"",""Q4"":""range"",""Q5"":""goat"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","1337836","pognl2hldb7","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","18720","survey-text","9","2.0.0","1357563","pognl2hldb7","","{""Q0"":""injection"",""Q1"":""syringe"",""Q2"":""eye"",""Q3"":""knitting"",""Q4"":""sewing"",""Q5"":""pin"",""Q6"":""haystack"",""Q7"":""thread"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
