"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1185","fullscreen","0","2.1.0","2201","ppsv70gnnqr","","","","","","","","",""
"","1263","html-keyboard-response","1","2.0.0","3467","ppsv70gnnqr","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","Enter","","","","","","",""
"","3027","survey-text","2","2.0.0","6497","ppsv70gnnqr","","{""participant_id"":""goose""}","","","","","","",""
"","5377","html-keyboard-response","3","2.0.0","11875","ppsv70gnnqr","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","Enter","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","37467","ppsv70gnnqr","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","39618","survey-text","5","2.0.0","78101","ppsv70gnnqr","","{""Q0"":""sit"",""Q1"":""wood"",""Q2"":""table"",""Q3"":""seat"",""Q4"":""rocking"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","103824","ppsv70gnnqr","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","71566","survey-text","7","2.0.0","176402","ppsv70gnnqr","","{""Q0"":""summit"",""Q1"":""ski"",""Q2"":""goat"",""Q3"":""peak"",""Q4"":""valley"",""Q5"":""mountain"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","202784","ppsv70gnnqr","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","32756","survey-text","9","2.0.0","236561","ppsv70gnnqr","","{""Q0"":""smooth"",""Q1"":""bumpy"",""Q2"":""road"",""Q3"":""gravel"",""Q4"":""riders"",""Q5"":""coase"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","262384","ppsv70gnnqr","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","27319","survey-text","11","2.0.0","290718","ppsv70gnnqr","","{""Q0"":""drowsy"",""Q1"":""snore"",""Q2"":""bed"",""Q3"":""rest"",""Q4"":""peace"",""Q5"":""yawn"",""Q6"":""nap"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","316522","ppsv70gnnqr","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","31922","survey-text","13","2.0.0","349454","ppsv70gnnqr","","{""Q0"":""sour"",""Q1"":""bitter"",""Q2"":""candy"",""Q3"":""taste"",""Q4"":""chocolate"",""Q5"":""cake"",""Q6"":""heart"",""Q7"":""sugar"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","374900","ppsv70gnnqr","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","36579","survey-text","15","2.0.0","412485","ppsv70gnnqr","","{""Q0"":""knitting"",""Q1"":""thimble"",""Q2"":""injection"",""Q3"":""point"",""Q4"":""sharp"",""Q5"":""sewing"",""Q6"":""needle"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","4237","html-keyboard-response","16","2.0.0","416725","ppsv70gnnqr","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   ","Enter","","","","","","",""
"","2937","survey-likert","17","2.0.0","419668","ppsv70gnnqr","","{""Q0"":0}","recognition","Ball","unrelated","1","[0]","",""
"","2181","survey-likert","18","2.0.0","421851","ppsv70gnnqr","","{""Q0"":0}","recognition","Floor","weakly related","1","[0]","",""
"","2348","survey-likert","19","2.0.0","424201","ppsv70gnnqr","","{""Q0"":3}","recognition","Chair","critical","1","[0]","",""
"","1881","survey-likert","20","2.0.0","426084","ppsv70gnnqr","","{""Q0"":0}","recognition","Shoe","unrelated","1","[0]","",""
"","3149","survey-likert","21","2.0.0","429234","ppsv70gnnqr","","{""Q0"":3}","recognition","Table","studied","1","[0]","",""
"","2549","survey-likert","22","2.0.0","431784","ppsv70gnnqr","","{""Q0"":2}","recognition","Cushion","weakly related","1","[0]","",""
"","1532","survey-likert","23","2.0.0","433318","ppsv70gnnqr","","{""Q0"":3}","recognition","Couch","studied","1","[0]","",""
"","1531","survey-likert","24","2.0.0","434851","ppsv70gnnqr","","{""Q0"":3}","recognition","Mountain","critical","2","[0]","",""
"","2082","survey-likert","25","2.0.0","436934","ppsv70gnnqr","","{""Q0"":3}","recognition","Car","unrelated","2","[0]","",""
"","2716","survey-likert","26","2.0.0","439651","ppsv70gnnqr","","{""Q0"":3}","recognition","Hike","weakly related","2","[0]","",""
"","1898","survey-likert","27","2.0.0","441551","ppsv70gnnqr","","{""Q0"":3}","recognition","Hill","studied","2","[0]","",""
"","3349","survey-likert","28","2.0.0","444901","ppsv70gnnqr","","{""Q0"":1}","recognition","Snow","weakly related","2","[0]","",""
"","2182","survey-likert","29","2.0.0","447084","ppsv70gnnqr","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","1932","survey-likert","30","2.0.0","449017","ppsv70gnnqr","","{""Q0"":1}","recognition","Draw","unrelated","2","[0]","",""
"","2049","survey-likert","31","2.0.0","451068","ppsv70gnnqr","","{""Q0"":3}","recognition","Smooth","studied","4","[0]","",""
"","1982","survey-likert","32","2.0.0","453051","ppsv70gnnqr","","{""Q0"":1}","recognition","Touch","studied","4","[0]","",""
"","2198","survey-likert","33","2.0.0","455251","ppsv70gnnqr","","{""Q0"":1}","recognition","Project","unrelated","4","[0]","",""
"","2082","survey-likert","34","2.0.0","457334","ppsv70gnnqr","","{""Q0"":1}","recognition","Spike","weakly related","4","[0]","",""
"","4365","survey-likert","35","2.0.0","461701","ppsv70gnnqr","","{""Q0"":1}","recognition","Chalk","weakly related","4","[0]","",""
"","1915","survey-likert","36","2.0.0","463618","ppsv70gnnqr","","{""Q0"":0}","recognition","Key","unrelated","4","[0]","",""
"","2281","survey-likert","37","2.0.0","465901","ppsv70gnnqr","","{""Q0"":3}","recognition","Rough","critical","4","[0]","",""
"","1632","survey-likert","38","2.0.0","467534","ppsv70gnnqr","","{""Q0"":0}","recognition","Coma","weakly related","5","[0]","",""
"","2548","survey-likert","39","2.0.0","470084","ppsv70gnnqr","","{""Q0"":2}","recognition","Tired","studied","5","[0]","",""
"","3615","survey-likert","40","2.0.0","473701","ppsv70gnnqr","","{""Q0"":1}","recognition","Calm","weakly related","5","[0]","",""
