"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","5440","fullscreen","0","2.1.0","6470","pqbzw6y3v6d","","","","","","","","",""
"","2704","html-keyboard-response","1","2.0.0","9179","pqbzw6y3v6d","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","Enter","","","","","","",""
"","3836","survey-text","2","2.0.0","13020","pqbzw6y3v6d","","{""participant_id"":""squirrel""}","","","","","","",""
"","5074","html-keyboard-response","3","2.0.0","18097","pqbzw6y3v6d","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   ","AudioVolumeUp","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","44876","pqbzw6y3v6d","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","32346","survey-text","5","2.0.0","78238","pqbzw6y3v6d","","{""Q0"":""sour"",""Q1"":""candy"",""Q2"":""tart"",""Q3"":""cake"",""Q4"":""pie"",""Q5"":""sugar"",""Q6"":""honey"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","104082","pqbzw6y3v6d","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","40794","survey-text","7","2.0.0","145893","pqbzw6y3v6d","","{""Q0"":""recliner"",""Q1"":""table"",""Q2"":""seat"",""Q3"":""sitting"",""Q4"":""cushion"",""Q5"":""rocking"",""Q6"":""bench"",""Q7"":""couch"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","172471","pqbzw6y3v6d","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","29308","survey-text","9","2.0.0","202804","pqbzw6y3v6d","","{""Q0"":""smooth"",""Q1"":""rugged"",""Q2"":""gravel"",""Q3"":""sand"",""Q4"":""riders"",""Q5"":""road"",""Q6"":""smooth"",""Q7"":""bumpy"",""Q8"":""coarse"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","228318","pqbzw6y3v6d","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","46068","survey-text","11","2.0.0","275408","pqbzw6y3v6d","","{""Q0"":""knitting"",""Q1"":""hurt"",""Q2"":""injection"",""Q3"":""point"",""Q4"":""cloth"",""Q5"":""pin"",""Q6"":""haystack"",""Q7"":""thimble"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","301829","pqbzw6y3v6d","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","32987","survey-text","13","2.0.0","335837","pqbzw6y3v6d","","{""Q0"":""hill"",""Q1"":""top"",""Q2"":""glacier"",""Q3"":""summit"",""Q4"":""ski"",""Q5"":""steep"",""Q6"":""climber"",""Q7"":""climb"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","361851","pqbzw6y3v6d","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","25777","survey-text","15","2.0.0","388640","pqbzw6y3v6d","","{""Q0"":""slumber"",""Q1"":""snore"",""Q2"":""nap"",""Q3"":""awake"",""Q4"":""drowzy"",""Q5"":""peace"",""Q6"":""dream"",""Q7"":""rest"",""Q8"":""bed"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","8464","html-keyboard-response","16","2.0.0","397106","pqbzw6y3v6d","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","5633","survey-likert","17","2.0.0","402746","pqbzw6y3v6d","","{""Q0"":0}","recognition","Cherry","weakly related","6","[0]","",""
"","2164","survey-likert","18","2.0.0","404912","pqbzw6y3v6d","","{""Q0"":0}","recognition","Ghost","unrelated","6","[0]","",""
"","5511","survey-likert","19","2.0.0","410425","pqbzw6y3v6d","","{""Q0"":1}","recognition","Door","unrelated","6","[0]","",""
"","2420","survey-likert","20","2.0.0","412848","pqbzw6y3v6d","","{""Q0"":3}","recognition","Sweet","critical","6","[0]","",""
"","4619","survey-likert","21","2.0.0","417470","pqbzw6y3v6d","","{""Q0"":0}","recognition","Sugar","studied","6","[0]","",""
"","2296","survey-likert","22","2.0.0","419768","pqbzw6y3v6d","","{""Q0"":3}","recognition","Sour","studied","6","[0]","",""
"","2211","survey-likert","23","2.0.0","421981","pqbzw6y3v6d","","{""Q0"":1}","recognition","Salty","weakly related","6","[0]","",""
"","2629","survey-likert","24","2.0.0","424612","pqbzw6y3v6d","","{""Q0"":2}","recognition","Floor","weakly related","1","[0]","",""
"","2198","survey-likert","25","2.0.0","426812","pqbzw6y3v6d","","{""Q0"":0}","recognition","Ball","unrelated","1","[0]","",""
"","1621","survey-likert","26","2.0.0","428435","pqbzw6y3v6d","","{""Q0"":0}","recognition","Shoe","unrelated","1","[0]","",""
"","2070","survey-likert","27","2.0.0","430507","pqbzw6y3v6d","","{""Q0"":3}","recognition","Cushion","weakly related","1","[0]","",""
"","5570","survey-likert","28","2.0.0","436079","pqbzw6y3v6d","","{""Q0"":1}","recognition","Chair","critical","1","[0]","",""
"","1872","survey-likert","29","2.0.0","437953","pqbzw6y3v6d","","{""Q0"":3}","recognition","Table","studied","1","[0]","",""
"","1771","survey-likert","30","2.0.0","439726","pqbzw6y3v6d","","{""Q0"":3}","recognition","Couch","studied","1","[0]","",""
"","2726","survey-likert","31","2.0.0","442454","pqbzw6y3v6d","","{""Q0"":0}","recognition","Click: Definitely New","attention_check","none","[0]","",""
"","3327","survey-likert","32","2.0.0","445782","pqbzw6y3v6d","","{""Q0"":1}","recognition","Chalk","weakly related","4","[0]","",""
"","5125","survey-likert","33","2.0.0","450910","pqbzw6y3v6d","","{""Q0"":0}","recognition","Touch","studied","4","[0]","",""
"","4419","survey-likert","34","2.0.0","455331","pqbzw6y3v6d","","{""Q0"":2}","recognition","Spike","weakly related","4","[0]","",""
"","2036","survey-likert","35","2.0.0","457369","pqbzw6y3v6d","","{""Q0"":0}","recognition","Project","unrelated","4","[0]","",""
"","2521","survey-likert","36","2.0.0","459892","pqbzw6y3v6d","","{""Q0"":3}","recognition","Rough","critical","4","[0]","",""
"","1701","survey-likert","37","2.0.0","461595","pqbzw6y3v6d","","{""Q0"":3}","recognition","Smooth","studied","4","[0]","",""
"","2652","survey-likert","38","2.0.0","464248","pqbzw6y3v6d","","{""Q0"":0}","recognition","Key","unrelated","4","[0]","",""
"","2277","survey-likert","39","2.0.0","466527","pqbzw6y3v6d","","{""Q0"":2}","recognition","Stitch","weakly related","3","[0]","",""
"","2006","survey-likert","40","2.0.0","468535","pqbzw6y3v6d","","{""Q0"":0}","recognition","Needle","critical","3","[0]","",""
"","1769","survey-likert","41","2.0.0","470306","pqbzw6y3v6d","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","2028","survey-likert","42","2.0.0","472335","pqbzw6y3v6d","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","2408","survey-likert","43","2.0.0","474745","pqbzw6y3v6d","","{""Q0"":3}","recognition","Pin","studied","3","[0]","",""
"","3043","survey-likert","44","2.0.0","477790","pqbzw6y3v6d","","{""Q0"":1}","recognition","Splinter","weakly related","3","[0]","",""
"","2225","survey-likert","45","2.0.0","480017","pqbzw6y3v6d","","{""Q0"":0}","recognition","Fast","unrelated","3","[0]","",""
"","2284","survey-likert","46","2.0.0","482303","pqbzw6y3v6d","","{""Q0"":0}","recognition","Draw","unrelated","2","[0]","",""
"","1697","survey-likert","47","2.0.0","484002","pqbzw6y3v6d","","{""Q0"":0}","recognition","Car","unrelated","2","[0]","",""
"","1843","survey-likert","48","2.0.0","485846","pqbzw6y3v6d","","{""Q0"":0}","recognition","Snow","weakly related","2","[0]","",""
"","2086","survey-likert","49","2.0.0","487934","pqbzw6y3v6d","","{""Q0"":2}","recognition","Hike","weakly related","2","[0]","",""
