"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","144691","fullscreen","0","2.1.0","145713","psalelbuf8s","","","","","","","","",""
"","1724","html-keyboard-response","1","2.0.0","147440","psalelbuf8s","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","2969","survey-text","2","2.0.0","150412","psalelbuf8s","","{""participant_id"":""whale""}","","","","","","",""
"","1294","html-keyboard-response","3","2.0.0","151707","psalelbuf8s","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","178867","psalelbuf8s","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","5320","survey-text","5","2.0.0","185198","psalelbuf8s","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","213017","psalelbuf8s","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","3797","survey-text","7","2.0.0","217836","psalelbuf8s","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","243327","psalelbuf8s","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","10020","survey-text","9","2.0.0","254367","psalelbuf8s","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":""cloth"",""Q14"":""knitting""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","280867","psalelbuf8s","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","7416","survey-text","11","2.0.0","289295","psalelbuf8s","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":""rocking"",""Q14"":""bench""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","315897","psalelbuf8s","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
