"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","701","fullscreen","0","2.1.0","1713","pw5xo7r2rrb","","","","","","","","",""
"","1501","html-keyboard-response","1","2.0.0","3216","pw5xo7r2rrb","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","6021","survey-text","2","2.0.0","9240","pw5xo7r2rrb","","{""participant_id"":""turtle""}","","","","","","",""
"","3167","html-keyboard-response","3","2.0.0","12408","pw5xo7r2rrb","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","38379","pw5xo7r2rrb","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","27343","survey-text","5","2.0.0","66728","pw5xo7r2rrb","","{""Q0"":""sleep"",""Q1"":""doze"",""Q2"":""drowsy"",""Q3"":""peace"",""Q4"":""wake"",""Q5"":""snooze"",""Q6"":""blanket"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","92331","pw5xo7r2rrb","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","42143","survey-text","7","2.0.0","135477","pw5xo7r2rrb","","{""Q0"":""sour"",""Q1"":""taste"",""Q2"":""bitter"",""Q3"":""tooth"",""Q4"":""sugar"",""Q5"":""candy"",""Q6"":""cake"",""Q7"":""pie"",""Q8"":""tart"",""Q9"":""chocolate"",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","161117","pw5xo7r2rrb","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","33636","survey-text","9","2.0.0","195757","pw5xo7r2rrb","","{""Q0"":""hill"",""Q1"":""molehill"",""Q2"":""climb"",""Q3"":""range"",""Q4"":""ski"",""Q5"":""goat"",""Q6"":""glacier"",""Q7"":""hike"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
