"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","3928","fullscreen","0","2.1.0","4958","pwpfvbp9h8o","","","","","","","","",""
"","2460","html-keyboard-response","1","2.0.0","7421","pwpfvbp9h8o","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","16064","survey-text","2","2.0.0","23492","pwpfvbp9h8o","","{""participant_id"":""alpaca""}","","","","","","",""
"","11108","html-keyboard-response","3","2.0.0","34602","pwpfvbp9h8o","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","60358","pwpfvbp9h8o","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","42041","survey-text","5","2.0.0","103407","pwpfvbp9h8o","","{""Q0"":""thread"",""Q1"":""haystack"",""Q2"":""cloth"",""Q3"":""knitting"",""Q4"":""shark"",""Q5"":""hurting"",""Q6"":""pinpoint"",""Q7"":""hitting"",""Q8"":""layered"",""Q9"":""pin"",""Q10"":""needle"",""Q11"":""injection"",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","129416","pwpfvbp9h8o","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","57849","survey-text","7","2.0.0","188273","pwpfvbp9h8o","","{""Q0"":""sour"",""Q1"":""bitter"",""Q2"":""chocolate"",""Q3"":""candy"",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":""good"",""Q11"":""taste"",""Q12"":""cake"",""Q13"":""tart"",""Q14"":""pie""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","214239","pwpfvbp9h8o","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","25330","survey-text","9","2.0.0","240572","pwpfvbp9h8o","","{""Q0"":""chair"",""Q1"":""sit"",""Q2"":""sitting"",""Q3"":""couch"",""Q4"":""sofa"",""Q5"":""stool"",""Q6"":""swivel"",""Q7"":""bench"",""Q8"":""wood"",""Q9"":""sticks"",""Q10"":""rocking"",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","266196","pwpfvbp9h8o","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","35655","survey-text","11","2.0.0","302855","pwpfvbp9h8o","","{""Q0"":""hill"",""Q1"":""valley"",""Q2"":""summit"",""Q3"":""climbing"",""Q4"":""hike"",""Q5"":""walking"",""Q6"":""top"",""Q7"":""peak"",""Q8"":""reach"",""Q9"":""high"",""Q10"":"""",""Q11"":"""",""Q12"":""mountain"",""Q13"":""steep"",""Q14"":""skee""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","328643","pwpfvbp9h8o","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","41007","survey-text","13","2.0.0","370655","pwpfvbp9h8o","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""awake"",""Q3"":""dream"",""Q4"":""wake"",""Q5"":""sleepy"",""Q6"":""tired"",""Q7"":""sleep"",""Q8"":""yawn"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":""yawn"",""Q14"":""drowsy""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","397219","pwpfvbp9h8o","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","72029","survey-text","15","2.0.0","470254","pwpfvbp9h8o","","{""Q0"":""rugged"",""Q1"":""coarse"",""Q2"":""uneven"",""Q3"":""ground"",""Q4"":""gravel"",""Q5"":""sandpaper"",""Q6"":""writer"",""Q7"":""pavement"",""Q8"":""concrete"",""Q9"":""uneven"",""Q10"":""rough"",""Q11"":""not smooth"",""Q12"":""rugged"",""Q13"":""work"",""Q14"":""road""}","free_recall","","","","","",""
"","9364","html-keyboard-response","16","2.0.0","479619","pwpfvbp9h8o","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","6765","survey-likert","17","2.0.0","486388","pwpfvbp9h8o","","{""Q0"":2}","recognition","Fast","unrelated","3","[0]","",""
"","3263","survey-likert","18","2.0.0","489654","pwpfvbp9h8o","","{""Q0"":2}","recognition","Needle","critical","3","[0]","",""
"","2698","survey-likert","19","2.0.0","492354","pwpfvbp9h8o","","{""Q0"":1}","recognition","Stitch","weakly related","3","[0]","",""
"","1964","survey-likert","20","2.0.0","494321","pwpfvbp9h8o","","{""Q0"":0}","recognition","Splinter","weakly related","3","[0]","",""
"","2181","survey-likert","21","2.0.0","496505","pwpfvbp9h8o","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","2664","survey-likert","22","2.0.0","499171","pwpfvbp9h8o","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","1964","survey-likert","23","2.0.0","501138","pwpfvbp9h8o","","{""Q0"":3}","recognition","Pin","studied","3","[0]","",""
"","1747","survey-likert","24","2.0.0","502888","pwpfvbp9h8o","","{""Q0"":1}","recognition","Cherry","weakly related","6","[0]","",""
"","1481","survey-likert","25","2.0.0","504371","pwpfvbp9h8o","","{""Q0"":1}","recognition","Salty","weakly related","6","[0]","",""
"","2398","survey-likert","26","2.0.0","506771","pwpfvbp9h8o","","{""Q0"":2}","recognition","Door","unrelated","6","[0]","",""
"","2047","survey-likert","27","2.0.0","508821","pwpfvbp9h8o","","{""Q0"":1}","recognition","Ghost","unrelated","6","[0]","",""
"","2431","survey-likert","28","2.0.0","511254","pwpfvbp9h8o","","{""Q0"":3}","recognition","Sweet","critical","6","[0]","",""
"","2531","survey-likert","29","2.0.0","513787","pwpfvbp9h8o","","{""Q0"":3}","recognition","Sour","studied","6","[0]","",""
"","3115","survey-likert","30","2.0.0","516905","pwpfvbp9h8o","","{""Q0"":3}","recognition","Sugar","studied","6","[0]","",""
"","1946","survey-likert","31","2.0.0","518853","pwpfvbp9h8o","","{""Q0"":1}","recognition","Ball","unrelated","1","[0]","",""
"","3216","survey-likert","32","2.0.0","522071","pwpfvbp9h8o","","{""Q0"":1}","recognition","Floor","weakly related","1","[0]","",""
"","2281","survey-likert","33","2.0.0","524354","pwpfvbp9h8o","","{""Q0"":3}","recognition","Table","studied","1","[0]","",""
"","1814","survey-likert","34","2.0.0","526171","pwpfvbp9h8o","","{""Q0"":3}","recognition","Cushion","weakly related","1","[0]","",""
