"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1176","fullscreen","0","2.1.0","2200","pwzp31kr1d2","","","","","","","","",""
"","4959","html-keyboard-response","1","2.0.0","7164","pwzp31kr1d2","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","2039","survey-text","2","2.0.0","9216","pwzp31kr1d2","","{""participant_id"":""tortoise""}","","","","","","",""
"","22251","html-keyboard-response","3","2.0.0","31470","pwzp31kr1d2","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","57469","pwzp31kr1d2","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","44484","survey-text","5","2.0.0","102980","pwzp31kr1d2","","{""Q0"":""hill"",""Q1"":""valley"",""Q2"":""climb"",""Q3"":""summit"",""Q4"":""peak"",""Q5"":""valley"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""ranger""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","129093","pwzp31kr1d2","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","38932","survey-text","7","2.0.0","169042","pwzp31kr1d2","","{""Q0"":""sour"",""Q1"":""candy"",""Q2"":""sugar"",""Q3"":""sweet"",""Q4"":""bitter"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":""tart"",""Q11"":""soda"",""Q12"":""chocolate"",""Q13"":""cake"",""Q14"":""pie""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","194930","pwzp31kr1d2","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","37578","survey-text","9","2.0.0","233524","pwzp31kr1d2","","{""Q0"":""bed"",""Q1"":""tired"",""Q2"":""awake"",""Q3"":""sleep"",""Q4"":""wake"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":""slumber"",""Q12"":""snore"",""Q13"":""yawn"",""Q14"":""drowsy""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","259370","pwzp31kr1d2","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","28860","survey-text","11","2.0.0","289253","pwzp31kr1d2","","{""Q0"":""thread"",""Q1"":""pin"",""Q2"":""needle"",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":""hurt"",""Q11"":""injection"",""Q12"":""sew"",""Q13"":""cloth"",""Q14"":""knitting""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","315481","pwzp31kr1d2","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","22035","survey-text","13","2.0.0","338545","pwzp31kr1d2","","{""Q0"":""smooth"",""Q1"":""bumpy"",""Q2"":""road"",""Q3"":""course"",""Q4"":"""",""Q5"":""jagged"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":""sand"",""Q14"":""gravel""}","free_recall","","","","","",""
