"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1017","fullscreen","0","2.1.0","2030","py8c0rzn4vh","","","","","","","","",""
"","3058","html-keyboard-response","1","2.0.0","5090","py8c0rzn4vh","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","4960","survey-text","2","2.0.0","10054","py8c0rzn4vh","","{""participant_id"":""cub""}","","","","","","",""
"","27698","html-keyboard-response","3","2.0.0","37754","py8c0rzn4vh","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","63503","py8c0rzn4vh","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","56255","survey-text","5","2.0.0","120774","py8c0rzn4vh","","{""Q0"":""table"",""Q1"":""rock"",""Q2"":""sitting"",""Q3"":""chair"",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","147007","py8c0rzn4vh","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","43836","survey-text","7","2.0.0","191854","py8c0rzn4vh","","{""Q0"":""nap "",""Q1"":""sleep"",""Q2"":""yawn"",""Q3"":""awake"",""Q4"":""bed"",""Q5"":""tired"",""Q6"":""pillow"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","217784","py8c0rzn4vh","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","43164","survey-text","9","2.0.0","261957","py8c0rzn4vh","","{""Q0"":""good "",""Q1"":""nice"",""Q2"":""cake "",""Q3"":""chocolate"",""Q4"":""candy "",""Q5"":""soda"",""Q6"":""sugar"",""Q7"":""sour"",""Q8"":""bitter"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","288301","py8c0rzn4vh","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
