"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1158","fullscreen","0","2.1.0","2170","pykg4b0del1","","","","","","","","",""
"","7790","html-keyboard-response","1","2.0.0","9963","pykg4b0del1","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","3600","survey-text","2","2.0.0","13568","pykg4b0del1","","{""participant_id"":""sheep""}","","","","","","",""
"","48903","html-keyboard-response","3","2.0.0","62472","pykg4b0del1","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","88446","pykg4b0del1","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","49052","survey-text","5","2.0.0","138502","pykg4b0del1","","{""Q0"":""bed"",""Q1"":""rest"",""Q2"":""sleep"",""Q3"":""awake"",""Q4"":""drowsy"",""Q5"":""doze"",""Q6"":""blanket"",""Q7"":""cozy"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","165214","pykg4b0del1","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","27196","survey-text","7","2.0.0","193418","pykg4b0del1","","{""Q0"":""ground"",""Q1"":""gravel"",""Q2"":""smooth"",""Q3"":""lumpy"",""Q4"":""road"",""Q5"":""black"",""Q6"":""rough"",""Q7"":""tough"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","218978","pykg4b0del1","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","24234","survey-text","9","2.0.0","244220","pykg4b0del1","","{""Q0"":""steep"",""Q1"":""ski"",""Q2"":""climber"",""Q3"":""range"",""Q4"":""hill"",""Q5"":""mountain"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","269778","pykg4b0del1","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","22200","survey-text","11","2.0.0","292985","pykg4b0del1","","{""Q0"":""sour"",""Q1"":""sweet"",""Q2"":""sugar"",""Q3"":""honey"",""Q4"":""bitter"",""Q5"":""tart"",""Q6"":""pie"",""Q7"":""candy"",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","318385","pykg4b0del1","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","22211","survey-text","13","2.0.0","341602","pykg4b0del1","","{""Q0"":""table"",""Q1"":""seat"",""Q2"":""legs"",""Q3"":""sit"",""Q4"":""rocking"",""Q5"":""ledge"",""Q6"":""stool"",""Q7"":""bench"",""Q8"":""wood"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","366939","pykg4b0del1","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","25707","survey-text","15","2.0.0","393652","pykg4b0del1","","{""Q0"":""pin"",""Q1"":""thread"",""Q2"":""eye"",""Q3"":""injection"",""Q4"":""syringe"",""Q5"":""cloth"",""Q6"":""knitting"",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","15321","html-keyboard-response","16","2.0.0","408975","pykg4b0del1","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","4792","survey-likert","17","2.0.0","413770","pykg4b0del1","","{""Q0"":2}","recognition","Coma","weakly related","5","[0]","",""
"","2547","survey-likert","18","2.0.0","416320","pykg4b0del1","","{""Q0"":1}","recognition","Calm","weakly related","5","[0]","",""
"","2647","survey-likert","19","2.0.0","418970","pykg4b0del1","","{""Q0"":3}","recognition","Sleep","critical","5","[0]","",""
"","1814","survey-likert","20","2.0.0","420786","pykg4b0del1","","{""Q0"":3}","recognition","Bed","studied","5","[0]","",""
"","8764","survey-likert","21","2.0.0","429553","pykg4b0del1","","{""Q0"":1}","recognition","Tired","studied","5","[0]","",""
"","2364","survey-likert","22","2.0.0","431920","pykg4b0del1","","{""Q0"":1}","recognition","Fish","unrelated","5","[0]","",""
"","2447","survey-likert","23","2.0.0","434370","pykg4b0del1","","{""Q0"":0}","recognition","Chess","unrelated","5","[0]","",""
"","2398","survey-likert","24","2.0.0","436770","pykg4b0del1","","{""Q0"":1}","recognition","Key","unrelated","4","[0]","",""
"","1964","survey-likert","25","2.0.0","438736","pykg4b0del1","","{""Q0"":1}","recognition","Touch","studied","4","[0]","",""
"","2181","survey-likert","26","2.0.0","440920","pykg4b0del1","","{""Q0"":1}","recognition","Chalk","weakly related","4","[0]","",""
"","2281","survey-likert","27","2.0.0","443204","pykg4b0del1","","{""Q0"":3}","recognition","Rough","critical","4","[0]","",""
"","2962","survey-likert","28","2.0.0","446169","pykg4b0del1","","{""Q0"":1}","recognition","Project","unrelated","4","[0]","",""
"","2148","survey-likert","29","2.0.0","448319","pykg4b0del1","","{""Q0"":1}","recognition","Spike","weakly related","4","[0]","",""
"","2415","survey-likert","30","2.0.0","450736","pykg4b0del1","","{""Q0"":3}","recognition","Smooth","studied","4","[0]","",""
"","1730","survey-likert","31","2.0.0","452470","pykg4b0del1","","{""Q0"":3}","recognition","Mountain","critical","2","[0]","",""
"","1681","survey-likert","32","2.0.0","454153","pykg4b0del1","","{""Q0"":3}","recognition","Hill","studied","2","[0]","",""
"","3481","survey-likert","33","2.0.0","457635","pykg4b0del1","","{""Q0"":2}","recognition","Car","unrelated","2","[0]","",""
"","2199","survey-likert","34","2.0.0","459837","pykg4b0del1","","{""Q0"":2}","recognition","Draw","unrelated","2","[0]","",""
"","1898","survey-likert","35","2.0.0","461737","pykg4b0del1","","{""Q0"":3}","recognition","Hike","weakly related","2","[0]","",""
"","9580","survey-likert","36","2.0.0","471320","pykg4b0del1","","{""Q0"":1}","recognition","Snow","weakly related","2","[0]","",""
"","2431","survey-likert","37","2.0.0","473753","pykg4b0del1","","{""Q0"":2}","recognition","Peak","studied","2","[0]","",""
"","1280","survey-likert","38","2.0.0","475036","pykg4b0del1","","{""Q0"":2}","recognition","Door","unrelated","6","[0]","",""
"","1898","survey-likert","39","2.0.0","476937","pykg4b0del1","","{""Q0"":3}","recognition","Sour","studied","6","[0]","",""
"","2713","survey-likert","40","2.0.0","479651","pykg4b0del1","","{""Q0"":1}","recognition","Ghost","unrelated","6","[0]","",""
"","2550","survey-likert","41","2.0.0","482203","pykg4b0del1","","{""Q0"":1}","recognition","Cherry","weakly related","6","[0]","",""
"","3296","survey-likert","42","2.0.0","485502","pykg4b0del1","","{""Q0"":1}","recognition","Salty","weakly related","6","[0]","",""
"","2333","survey-likert","43","2.0.0","487837","pykg4b0del1","","{""Q0"":3}","recognition","Sugar","studied","6","[0]","",""
"","1547","survey-likert","44","2.0.0","489386","pykg4b0del1","","{""Q0"":3}","recognition","Sweet","critical","6","[0]","",""
"","2115","survey-likert","45","2.0.0","491503","pykg4b0del1","","{""Q0"":1}","recognition","Shoe","unrelated","1","[0]","",""
"","1981","survey-likert","46","2.0.0","493487","pykg4b0del1","","{""Q0"":1}","recognition","Floor","weakly related","1","[0]","",""
"","1430","survey-likert","47","2.0.0","494920","pykg4b0del1","","{""Q0"":2}","recognition","Cushion","weakly related","1","[0]","",""
"","1947","survey-likert","48","2.0.0","496870","pykg4b0del1","","{""Q0"":3}","recognition","Table","studied","1","[0]","",""
"","2147","survey-likert","49","2.0.0","499019","pykg4b0del1","","{""Q0"":1}","recognition","Ball","unrelated","1","[0]","",""
"","1582","survey-likert","50","2.0.0","500603","pykg4b0del1","","{""Q0"":3}","recognition","Chair","critical","1","[0]","",""
"","3897","survey-likert","51","2.0.0","504503","pykg4b0del1","","{""Q0"":2}","recognition","Couch","studied","1","[0]","",""
"","2130","survey-likert","52","2.0.0","506637","pykg4b0del1","","{""Q0"":3}","recognition","Pin","studied","3","[0]","",""
"","3530","survey-likert","53","2.0.0","510170","pykg4b0del1","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","2031","survey-likert","54","2.0.0","512204","pykg4b0del1","","{""Q0"":3}","recognition","Stitch","weakly related","3","[0]","",""
"","2414","survey-likert","55","2.0.0","514620","pykg4b0del1","","{""Q0"":3}","recognition","Needle","critical","3","[0]","",""
"","3881","survey-likert","56","2.0.0","518503","pykg4b0del1","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","2581","survey-likert","57","2.0.0","521087","pykg4b0del1","","{""Q0"":1}","recognition","Fast","unrelated","3","[0]","",""
"","2081","survey-likert","58","2.0.0","523170","pykg4b0del1","","{""Q0"":1}","recognition","Splinter","weakly related","3","[0]","",""
"","3197","survey-likert","59","2.0.0","526370","pykg4b0del1","","{""Q0"":0}","recognition","Click: Definitely New","attention_check","none","[0]","",""
"","8713","survey-likert","60","2.0.0","535087","pykg4b0del1","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":0}","","","","","[0,1,2,3,4,5]","",""
"","12075","html-keyboard-response","61","2.0.0","547164","pykg4b0del1","
    <h2>Speed Memory Game</h2>
    <p>Press <strong>S</strong> if the word was studied.</p>
    <p>Press <strong>N</strong> if it was NOT studied.</p>
    <p>Respond as quickly as possible. (Please note it may be case sensitive)</p>
    <p>Press any key to begin.</p>
  "," ","","","","","","",""
"","3959","html-keyboard-response","62","2.0.0","551125","pykg4b0del1","<h1>Tired</h1>","s","speed_game","Tired","","","","s","true"
"","null","html-keyboard-response","63","2.0.0","551928","pykg4b0del1","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","779","html-keyboard-response","64","2.0.0","552709","pykg4b0del1","<h1>Sour</h1>","s","speed_game","Sour","","","","s","true"
"","null","html-keyboard-response","65","2.0.0","553513","pykg4b0del1","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","545","html-keyboard-response","66","2.0.0","554059","pykg4b0del1","<h1>Sugar</h1>","s","speed_game","Sugar","","","","s","true"
"","null","html-keyboard-response","67","2.0.0","554862","pykg4b0del1","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
