"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","1113","fullscreen","0","2.1.0","2118","pzk2dn0zdhk","","","","","","","","",""
"","1363","html-keyboard-response","1","2.0.0","3483","pzk2dn0zdhk","Welcome to the False Recall experiment. <p>Press any key to begin.</p>"," ","","","","","","",""
"","2806","survey-text","2","2.0.0","6290","pzk2dn0zdhk","","{""participant_id"":""lion""}","","","","","","",""
"","2215","html-keyboard-response","3","2.0.0","8506","pzk2dn0zdhk","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","34021","pzk2dn0zdhk","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","34841","survey-text","5","2.0.0","69869","pzk2dn0zdhk","","{""Q0"":""thimble"",""Q1"":""haystack"",""Q2"":""sharp"",""Q3"":""needle"",""Q4"":""sewing"",""Q5"":""thread"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","95690","pzk2dn0zdhk","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","48055","survey-text","7","2.0.0","144751","pzk2dn0zdhk","","{""Q0"":""bed"",""Q1"":""rest "",""Q2"":""awake"",""Q3"":""drowsy"",""Q4"":""nap"",""Q5"":""slumber"",""Q6"":""blanket"",""Q7"":""sleep"",""Q8"":""moon"",""Q9"":""night"",""Q10"":""pillow"",""Q11"":""fluff"",""Q12"":""soft"",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","172191","pzk2dn0zdhk","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","27116","survey-text","9","2.0.0","200312","pzk2dn0zdhk","","{""Q0"":""ski"",""Q1"":""hill"",""Q2"":""valley"",""Q3"":""mountain"",""Q4"":""summit"",""Q5"":""goat"",""Q6"":""slopes"",""Q7"":""molehill"",""Q8"":""climb"",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","226195","pzk2dn0zdhk","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","21277","survey-text","11","2.0.0","248478","pzk2dn0zdhk","","{""Q0"":""sweet"",""Q1"":""sour"",""Q2"":""candy"",""Q3"":""pie"",""Q4"":""taste"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","275845","pzk2dn0zdhk","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
"","15237","survey-text","13","2.0.0","292088","pzk2dn0zdhk","","{""Q0"":""rough"",""Q1"":""sand"",""Q2"":""gravel"",""Q3"":""road"",""Q4"":""bumpy"",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","317618","pzk2dn0zdhk","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","19850","survey-text","15","2.0.0","338473","pzk2dn0zdhk","","{""Q0"":""sand"",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":"""",""Q10"":"""",""Q11"":"""",""Q12"":"""",""Q13"":"""",""Q14"":""""}","free_recall","","","","","",""
"","2808","html-keyboard-response","16","2.0.0","341282","pzk2dn0zdhk","<p>You will now receive another test.<p> 
      <p>Here you will be shown a series of words that you may have seen previously.<p> 
      <p>Your task is to rate your confidence of seeing these words on a 4 point scale<p>
      <p>Definitely new<p> 
      <p>Maybe new<p>
      <p>Maybe seen before<p>
      <p>Definitely seen before<p>
      <p>Press any key to continue<p> 
   "," ","","","","","","",""
"","3690","survey-likert","17","2.0.0","344974","pzk2dn0zdhk","","{""Q0"":3}","recognition","Needle","critical","3","[0]","",""
"","2032","survey-likert","18","2.0.0","347008","pzk2dn0zdhk","","{""Q0"":3}","recognition","Stitch","weakly related","3","[0]","",""
"","2732","survey-likert","19","2.0.0","349741","pzk2dn0zdhk","","{""Q0"":0}","recognition","Stop","unrelated","3","[0]","",""
"","1899","survey-likert","20","2.0.0","351642","pzk2dn0zdhk","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","1999","survey-likert","21","2.0.0","353642","pzk2dn0zdhk","","{""Q0"":0}","recognition","Fast","unrelated","3","[0]","",""
"","3566","survey-likert","22","2.0.0","357209","pzk2dn0zdhk","","{""Q0"":2}","recognition","Splinter","weakly related","3","[0]","",""
"","1832","survey-likert","23","2.0.0","359043","pzk2dn0zdhk","","{""Q0"":2}","recognition","Pin","studied","3","[0]","",""
"","2766","survey-likert","24","2.0.0","361810","pzk2dn0zdhk","","{""Q0"":0}","recognition","Click: Definitely New","attention_check","none","[0]","",""
