"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct_answer","correct"
"true","7530","fullscreen","0","2.1.0","8545","pzvb1tzsc1k","","","","","","","","",""
"","50313","html-keyboard-response","1","2.0.0","58861","pzvb1tzsc1k","Welcome to the False Recall experiment. <p>Press any key to begin.</p>","Enter","","","","","","",""
"","3073","survey-text","2","2.0.0","61940","pzvb1tzsc1k","","{""participant_id"":""panda""}","","","","","","",""
"","1521","html-keyboard-response","3","2.0.0","63461","pzvb1tzsc1k","<p>Listen to the following words. Do your best to memorize as many words as accurately as possible.<p>
      <p>The first trial will begin after this screen<p>
        <p> Press any key to continue<p> 
   "," ","","","","","","",""
"","null","audio-keyboard-response","4","2.1.1","89490","pzvb1tzsc1k","stimuli/Cogs 119 List 6.wav","null","","","","","","",""
"","96058","survey-text","5","2.0.0","186556","pzvb1tzsc1k","","{""Q0"":""sour"",""Q1"":""candy"",""Q2"":""nice"",""Q3"":""good"",""Q4"":""cake"",""Q5"":""pie"",""Q6"":""honey"",""Q7"":""taste"",""Q8"":""sweet"",""Q9"":""sugar"",""Q10"":""sour"",""Q11"":""candy"",""Q12"":""good"",""Q13"":""nice"",""Q14"":""pie""}","free_recall","","","","","",""
"","null","audio-keyboard-response","6","2.1.1","212522","pzvb1tzsc1k","stimuli/Cogs 119 List 3.wav","null","","","","","","",""
"","82027","survey-text","7","2.0.0","295555","pzvb1tzsc1k","","{""Q0"":""thread"",""Q1"":""eye"",""Q2"":""pin"",""Q3"":""prick"",""Q4"":""thorn"",""Q5"":""haystack"",""Q6"":""needle"",""Q7"":""hurt"",""Q8"":""injection"",""Q9"":""sewing"",""Q10"":""sharp"",""Q11"":""knitting"",""Q12"":""sharp"",""Q13"":""prick"",""Q14"":""thimble""}","free_recall","","","","","",""
"","null","audio-keyboard-response","8","2.1.1","321322","pzvb1tzsc1k","stimuli/Cogs 119 List 1.wav","null","","","","","","",""
"","83389","survey-text","9","2.0.0","405718","pzvb1tzsc1k","","{""Q0"":""table"",""Q1"":""legs"",""Q2"":""chair"",""Q3"":""cusion"",""Q4"":""desk"",""Q5"":""swivel"",""Q6"":""couch"",""Q7"":""table"",""Q8"":""desk"",""Q9"":""wood"",""Q10"":""furniture"",""Q11"":""legs"",""Q12"":""sitting"",""Q13"":""rocking"",""Q14"":""bench""}","free_recall","","","","","",""
"","null","audio-keyboard-response","10","2.1.1","431730","pzvb1tzsc1k","stimuli/Cogs 119 List 5.wav","null","","","","","","",""
"","76948","survey-text","11","2.0.0","509685","pzvb1tzsc1k","","{""Q0"":""sleep"",""Q1"":""tired"",""Q2"":""awake"",""Q3"":""slumber"",""Q4"":""wake"",""Q5"":""blanket"",""Q6"":""rest"",""Q7"":""cozy"",""Q8"":""comfort"",""Q9"":""blanket"",""Q10"":""sleep"",""Q11"":""lay"",""Q12"":""peace"",""Q13"":""yawn"",""Q14"":""drowsy""}","free_recall","","","","","",""
"","null","audio-keyboard-response","12","2.1.1","535812","pzvb1tzsc1k","stimuli/Cogs 119 List 2.wav","null","","","","","","",""
"","54283","survey-text","13","2.0.0","591101","pzvb1tzsc1k","","{""Q0"":""hill"",""Q1"":""valley"",""Q2"":""peak"",""Q3"":""goat"",""Q4"":""glacier"",""Q5"":""plane"",""Q6"":""hiker"",""Q7"":""climber"",""Q8"":""goat"",""Q9"":""bike"",""Q10"":""molehill"",""Q11"":""peak"",""Q12"":""top"",""Q13"":""ski"",""Q14"":""steep""}","free_recall","","","","","",""
"","null","audio-keyboard-response","14","2.1.1","618009","pzvb1tzsc1k","stimuli/Cogs 119 List 4.wav","null","","","","","","",""
